EVTOPTA_CM_4013;Spare me your lamentations!;Épargnez-moi vos lamentations !;Verschont mich mit Eurem Gejammer!;;¡Ahórrate tus lamentos!;;;;;;;;;x
EVTDESC_SOA_2661;Your majesty, this antagonism is completely unwarranted! The Knights of Santiago serve Christ, but, one has to wonder, do you?\nWith anger and sadness,\n\nGrand Master [From.GetFirstName];[Root.PrimaryTitle.GetFOA], cette opposition est complètement injustifiée ! L'Ordre de Santiago sert le Christ mais certains se posent la question : vous, le servez-vous ?\n\nAvec colère et tristesse,\nGrand Maître [From.GetFirstName];Eure Majestät, diese Ablehnung ist völlig unbegründet! Die Ritter des Heiligen Jakob dienen Christus, doch muss man sich fragen, tut Ihr das auch? \n\nIn Zorn und Trauer,\nGroßmeister [From.GetFirstName];;Su majestad, ¡este antagonismo es totalmente injustificado! Los Caballeros de Santiago sirven a Cristo, pero cabe preguntarse, ¿y usted?\n\nCon ira y tristeza,\n\nGran Maestre [From.GetFirstName];;;;;;;;;x
EVTDESC_SOA_2709;The Order of Calatrava is the most recent addition to the soldiers of the Cross, having just been endorsed in a decree issued by the [Root.Religion.GetName] Church. These knights take their name from a castle recovered in Iberia from the clutches of the Moslem infidel, and they stand ready to combat heathens and defend the pious in the name of any [Root.Religion.GetName] ruler who is willing to provide for their upkeep.;L'Ordre de Calatrava est le plus récent des ordres religieux de la Sainte Croix à avoir été approuvé par un décret de l'Église [Root.Religion.GetName].\nCes chevaliers tiennent leur nom d'un château repris aux infidèles sarrasins en péninsule ibérique et sont prêts à combattre les païens et à défendre les croyants au nom de tout seigneur [Root.GetReligionMasc] suffisamment pieux.;Der Orden von Calatrava ist der jüngste Neuzugang zur Streitmacht des Kreuzes, er wurde gerade erst durch ein Dekret der [Root.Religion.GetName]en Kirche privilegiert. Der Name bezieht sich auf eine den Klauen der muslimischen Ungläubigen in Iberien entrissene Burg und die Ritter stehen bereit zum Kampf gegen die Heiden und zur Verteidigung der Frommen im Namen jedes [Root.Religion.GetName]en Herrschers, der bereit ist, für ihren Unterhalt aufzukommen.;;La Orden de Calatrava es la última adición a los soldados de la cruz, recién aprobada por un decreto de la iglesia [Root.Religion.GetName]. Estos caballeros toman su nombre de un castillo ibérico reconquistado a los musulmanes infieles y están dispuestos a luchar contra los paganos y a defender a los devotos en el nombre de cualquier gobernante [Root.Religion.GetName] que les proporcione los víveres necesarios.;;;;;;;;;x
EVTDESC_SOA_2731;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Knights of Calatrava in their struggle against the infidel, even though this will forever disinherit him.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName],a demandé à rejoindre l'Ordre de Calatrava dans sa lutte contre les infidèles, même si cela le déshéritera à jamais.;Mein [GetFromRelation], [From.GetTitledFirstName] will sich den Rittern von Calatrava in ihrem Kampf gegen die Ungläubigen anschließen, obwohl ihn dies auf ewig von der Erbfolge ausschließt.;;Mi [GetFromRelation] [From.GetTitledFirstName] ha solicitado unirse a los Caballeros de Calatrava en su lucha contra los infieles, a pesar de que esta acción le desheredará para siempre.;;;;;;;;;x
EVTDESC_SOA_2753;Most righteous [Root.GetTitledFirstName], the Knights of Calatrava need more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nPax Christi,\nGrand Master [target_grandmaster.GetFirstName];Très juste [Root.GetTitledFirstName], l'Ordre de Calatrava a besoin de nouveaux châteaux afin de lever des troupes et de générer le revenu nécessaire à son fonctionnement. Il nous est apparu que vous possédiez un emplacement approprié sur votre domaine, à [target_province.GetName] pour être exact. Nous sommes disposés à vous payer 100 d'or en échange du droit d'y construire une forteresse.\n\nPax Christi,\nGrand Maître [target_grandmaster.GetFirstName];Hochwohlgeborener [Root.GetTitledFirstName], die Ritter von Calatrava brauchen weitere Burgen zur Ausbildung von Truppen und zur Erzeugung von Einnahmen. Ich habe erfahren, dass es in Eurem Reich einen geeigneten Standort gibt, nämlich in [target_province.GetName]. Ich zahle Euch 100 Gold für das Recht, dort eine Burg zu errichten.\n\nDer Friede des Herrn sei mit Euch!\nGroßmeister [target_grandmaster.GetFirstName];;Mi justo [Root.GetTitledFirstName], los Caballeros de Calatrava necesitan más castillos para entrenar tropas y obtener ingresos para sostenerse. Hay un lugar adecuado en su heredad, en [target_province.GetName] para ser más precisos. Estoy dispuesto a pagarle 100 oros a cambio del derecho a construir allí una fortaleza.\n\nPax Christi,\nGran Maestre [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_2754;The Knights of Calatrava have constructed a castle in [Root.GetName]!;L'Ordre de Calatrava a construit un château en [Root.GetName] !;Die Ritter von Calatrava haben in [Root.GetName] eine Burg errichtet!;;¡Los Caballeros de Calatrava han construido un castillo en [Root.GetName]!;;;;;;;;;x
EVTDESC_SOA_2761;Your majesty, this antagonism is completely unwarranted! The Knights of Calatrava serve Christ, but, one has to wonder, do you?\n\nWith anger and sadness,\nGrand Master [From.GetFirstName];[Root.PrimaryTitle.GetFOA], cette opposition est complètement injustifiée ! L'Ordre de Calatrava sert le Christ mais certains se posent la question : vous, qui servez-vous ?\n\nLe coeur empli de colère et de tristesse,\n\nGrand Maître [From.GetFirstName];Eure Majestät, diese Ablehnung ist völlig unbegründet! Die Ritter von Calatrava dienen Christus, doch muss man sich fragen, tut Ihr das auch? \n\nIn Zorn und Trauer,\nGroßmeister [From.GetFirstName];;Su majestad, ¡este antagonismo es totalmente injustificado! Los Caballeros de Calatrava sirven a Cristo, pero cabe preguntarse, ¿y usted?\n\nCon ira y tristeza,\n\nGran Maestre [From.GetFirstName];;;;;;;;;x
EVTDESC_SOA_2809;The imperative to protect the Holy Places for Nestorian Christianity has caused the Catholicos, [Root.RelHead.GetTitledName], to declare the creation of a holy brotherhood of warrior monks - the Order of Saint Addai, named after the apostle who spread Christianity to Syria and Mesopotamia. They stand ready to smite heathens and infidels and protect the righteous in the name of any [Root.Religion.GetName] ruler who is willing to provide for their upkeep.;L'impératif de protéger les lieux sacrés de la chrétienté nestorienne a poussé le catholicossat, [Root.RelHead.Get_le_TitledName], à déclarer la création d'une fraternité sacrée de moines guerriers, l'Ordre de saint Thaddée, du nom d'un apôtre qui a diffusé le christianisme en Syrie et en Mésopotamie. Ils sont prêts à châtier les païens et les infidèles, et à protéger les fidèles au nom de tout souverain [Root.Religion.GetName] prêt à financer leur fonctionnement.;Die Notwendigkeit, die heiligen Stätten der Nestorianischen Kirche zu schützen, hat den Katholikos [Root.RelHead.GetTitledName] veranlasst, eine heilige Bruderschaft von Kriegermönchen - den Orden des heiligen Thaddeus - zu gründen, benannt nach dem Apostel, der das Christentum nach Syrien und Mesopotamien brachte. Sie sind bereit, Heiden und Ungläubige zu zerschmettern und die Rechtschaffenen im Namen jedes [Root.Religion.GetName]en Herrschers zu beschützen, der willens ist, ihnen Unterhalt zu zahlen.;;El imperativo de proteger los Santos Lugares para la Cristiandad Nestoriana ha hecho que el católico, [Root.RelHead.GetTitledName], declare la creación de una sagrada hermandad de monjes guerreros - la Orden de San Aday, en honor al apóstol que extendió la cristiandad por Siria y Mesopotamia. Están dispuestos a aniquilar a herejes e infieles y proteger a los rectos en el nombre de cualquier gobernante [Root.Religion.GetName] que desee aportar su manutención.;;;;;;;;;x
EVTDESC_SOA_2831;My [GetFromRelation], [From.GetTitledFirstName], has requested to join the Order of Saint Addai in their struggle against the infidel, even though this will forever disinherit him.;M[From.GetOnA] [GetFromRelation], [From.Get_le_TitledFirstName], a demandé à rejoindre l'Ordre de saint Thaddée dans sa lutte contre les infidèles, même si cela le déshéritera à jamais.;Mein [GetFromRelation] [From.GetTitledFirstName] bat, dem Orden des Heiligen Thaddeus in ihrem Kampf gegen die Ungläubigen beitreten zu dürfen, selbst wenn er dadurch auf immer enterbt wird.;;Mi [GetFromRelation], [From.GetTitledFirstName], ha solicitado unirse a la Orden de San Aday en su lucha contra los infieles, aunque lo desheredará para siempre.;;;;;;;;;x
EVTDESC_SOA_2853;Most righteous [Root.GetTitledFirstName], the Order of Saint Addai needs more castles in order to train troops and generate a supporting income. There is a suitable location in your demesne - in [target_province.GetName] to be specific. I am willing to pay you 100 gold in exchange for the right to construct a fortress there.\n\nPax Christi,\nGrand Master [target_grandmaster.GetFirstName];Très illustre [Root.GetTitledFirstName], l'Ordre de saint Thaddée a besoin de davantage de châteaux afin d'entraîner des troupes et de générer le revenu nécessaire à son fonctionnement. Il existe un endroit où vous pouvez vous établir, à [target_province.GetName], pour être précis. Je suis prêt à vous payer 100 or en échange du droit d'édifier une forteresse à cet endroit.\n\nPax Christi,\n\nGrand Maître [target_grandmaster.GetFirstName];Oh rechtschaffener [Root.GetTitledFirstName], der Orden des Heiligen Thaddeus benötigt mehr Burgen, um Truppen auszubilden und versorgen zu können. Es gibt einen passenden Ort in Eurer Domäne - in [target_province.GetName], um genau zu sein. Ich bin bereit, Euch 100 Gold für das Recht zu zahlen, dort eine Festung zu errichten.\n\nPax Christi\nGroßmeister [target_grandmaster.GetFirstName];;Mi recto [Root.GetTitledFirstName], la Orden de San Aday necesita más castillos para entrenar tropas y generar ingresos. Hay una ubicación perfecta en vuestra heredad - en [target_province.GetName] para ser más exactos. Deseo pagaros 100 oros a cambio del derecho a construir una fortaleza allí.\n\nPax Christi,\nGran Maestro [target_grandmaster.GetFirstName];;;;;;;;;x
EVTDESC_SOA_2854;The Order of Saint Addai has constructed a castle in [Root.GetName]!;L'Ordre de saint Thaddée a construit un château en [Root.GetName] !;Der Orden des Heiligen Thaddeus hat eine Burg in [Root.GetName] errichtet!;;¡La Orden de San Aday ha construido un castillo en [Root.GetName]!;;;;;;;;;x
EVTDESC_SOA_2861;Your majesty, this antagonism is completely unwarranted! The Order of Saint Addai serve Christ, but, one has to wonder, do you?\n\nWith anger and sadness,\nGrand Master [From.GetFirstName];[Root.PrimaryTitle.GetFOA], cette opposition est complètement injustifiée ! L'Ordre de Saint Thaddée sert le Christ, mais certains se posent la question : vous, le servez-vous ?\n\nVeuillez agréer l'expression de ma colère et de ma tristesse,\n\nGrand Maître [From.GetFirstName];Eure Majestät, diese Feindseligkeit ist vollkommen unangemessen! Der Orden des Heiligen Thaddeus dient Christus, doch muss man fragen: Ihr auch?\n\nMit Ärger und Trauer\nGroßmeister [From.GetFirstName];;¡Su Majestad, este antagonismo es completamente injustificado! La Orden de San Aday sirve a Cristo, pero, uno piensa, ¿y vos?\n\nCon rabia y tristeza,\nGran Maestro [From.GetFirstName];;;;;;;;;x
EVTDESC_SoA_2862;My husband, [demanded_child.GetName], has gone off to join the [demanded_child.Liege.PrimaryTitle.GetName]. This effectively annuls our marriage...;Mon mari, [demanded_child.GetName], est parti rejoindre [demanded_child.Liege.PrimaryTitle.Get_le_Realm]. Voilà qui annule irrémédiablement notre mariage...;Mein Gatte [demanded_child.GetName] hat sich [demanded_child.Liege.PrimaryTitle.GetName] angeschlossen. Unsere Ehe ist somit null und nichtig ...;;Mi marido, [demanded_child.GetName], se ha ido para unirse al [demanded_child.Liege.PrimaryTitle.GetName]. Esto significa, de hecho, la anulación de nuestro matrimonio...;;;;;;;;;x
EVTDESC_SoA_2863;My husband, [FromFrom.GetName], has gone off to join the [FromFrom.Liege.PrimaryTitle.GetName]. This effectively annuls our marriage...;Mon mari, [FromFrom.GetName], est parti rejoindre [FromFrom.Liege.PrimaryTitle.Get_le_Realm]. Voilà qui annule irrémédiablement notre mariage...;Mein Gatte [FromFrom.GetName] hat sich [FromFrom.Liege.PrimaryTitle.GetName] angeschlossen. Unsere Ehe ist somit null und nichtig ...;;Mi marido, [FromFrom.GetName]se ha ido para unirse al [FromFrom.Liege.PrimaryTitle.GetName].Esto significa, de hecho, la anulación de nuestro matrimonio...;;;;;;;;;x
EVTDESC_SOA_2990;I can expel the Holy Order to finally be rid of them from my realm! But I must be sure of this. Once expelled, I will not be able to allow them back.;Je peux expulser l'ordre sacré pour enfin en être débarrassé dans mon pays ! Cependant, je dois être certain[Root.Get_E] de mon choix. Une fois expulsé, je ne pourrai plus leur permettre de revenir.;Ich kann den Heiligen Orden aus meinem Reich verbannen, damit ich ihn endlich los bin! Doch ich muss sicher sein. Ein solcher Entschluss kann nicht rückgängig gemacht werden.;;¡Por fin puedo expulsar a la Orden Sagrada de mi reino para librarme de ellos! Pero debo estar seguro de esto. Una vez expulsados, no podré dejar que vuelvan.;;;;;;;;;x

EVTOPTA_SOA_1003;Very well, it's a good life;Fort bien, c'est une vie de preux ! ;Sehr gut, es ist ein gutes Leben ;;Está bien, es una buena vida;;;;;;;;;x
EVTOPTA_SOA_1023;A reasonable request;C'est une requête raisonnable;Ein vernünftiges Ersuchen;;Es una petición razonable;;;;;;;;;x
EVTOPTA_SOA_1024;Impressive!;Impressionnant !;Beeindruckend!;;¡Impresionante!;;;;;;;;;x
EVTOPTA_SOA_1031;Go with my blessing.;Vous avez ma bénédiction.;So gehe hin, mit meinem Segen.;;Otorgo mi bendición;;;;;;;;;x
EVTOPTA_SOA_1209;They could be useful...;Elle pourrait s'avérer utile...;Sie könnten nützlich sein...;;Podrían ser útiles...;;;;;;;;;x
EVTOPTA_SOA_1609;A laudable goal!;Un but louable !;Ein lobenswertes Ziel!;;¡Un objetivo loable!;;;;;;;;;x
EVTOPTA_SOA_1709;These knights can finally fulfill their vows.;Ces chevaliers peuvent enfin accomplir leurs voeux !;Endlich können diese Ritter ihre Gelübde erfüllen.;;Estos caballeros pueden finalmente cumplir sus votos.;;;;;;;;;x
EVTOPTA_SOA_1809;The legendary warriors have returned!;Les guerriers légendaires sont de retour !;Die legendären Krieger sind zurück!;;¡Los guerreros legendarios han regresado!;;;;;;;;;x
EVTOPTA_SOA_1909;Any defense of Judaism is welcome.;Toute défense du judaïsme est la bienvenue.;Jeder Verteidiger des Judentums ist willkommen.;;Toda defensa del judaísmo es bienvenida.;;;;;;;;;x
EVTOPTA_SOA_2009;Let them ride forward in the name of the Sky-Father!;Qu'ils chevauchent au nom du Père-Ciel !;Lasst sie reiten im Namen des Himmelsvaters!;;¡Que prosigan su camino en nombre del Padre-Cielo!;;;;;;;;;x
EVTOPTA_SOA_2109;The Spirits be praised!;Honneur aux Esprits !;Die Geister seien gepriesen!;;¡Alabados sean los Espíritus!;;;;;;;;;x
EVTOPTA_SOA_2209;May the enemies of Perun quake in their boots!;Que les ennemis de Péroun en tremblent de peur !;Lasst die Feinde Peruns in ihren Stiefeln zittern!;;¡Que los enemigos de Perún comiencen a temblar!;;;;;;;;;x
EVTOPTA_SOA_2309;Like a thunderbolt, they shall strike down their foes!;Comme la foudre, ils frapperont leurs ennemis !;Lasst sie die Feinde niederschlagen wie ein Blitz!;;¡Aniquilarán a sus enemigos con la fuerza del rayo!;;;;;;;;;x
EVTOPTA_SOA_2409;They are like the heroes of myth!;Ils sont comme les héros du mythe !;Sie sind wie die Helden der Sagen!;;¡Son como los héroes míticos!;;;;;;;;;x
EVTOPTA_SOA_2509;May their sacrifices be many and gruesome.;Que leurs sacrifices soient nombreux et sanglants.;Mögen ihre Opfer zahlreich und grausam sein!;;Que los sacrificios sean numerosos y espantosos.;;;;;;;;;x
EVTOPTA_SOA_2609;Brave warriors of Christ!;De braves guerriers du Christ !;Tapfere Krieger Christi!;;¡Valientes guerreros de Cristo!;;;;;;;;;x
EVTOPTA_SOA_2709;May their battles end in victory!;Qu'ils soient victorieux !;Mögen ihre Schlachten siegreich enden!;;¡Que sus batallas resulten victoriosas!;;;;;;;;;x
EVTOPTA_SOA_2990;Drive them all out!;Chassez-les !;Raus mit ihnen!;;¡Expulsarlos a todos!;;;;;;;;;x

EVTOPTB_SOA_1003;Pay them back instead;Remboursons par l'or plutôt que par le sang ! ;Zahlt statt dessen Eure Schulden zurück;;Devolverles el préstamo;;;;;;;;;x
EVTOPTB_SOA_1031;Absolutely not!;C'est hors de question ! ;Auf keinen Fall!;;¡Me niego por completo!;;;;;;;;;x
EVTOPTB_SOA_1061;Good Riddance!;Bon débarras !;Ein Glück, dass ich ihn los bin!;;¡Qué alivio!;;;;;;;;;x
EVTOPTB_SOA_1153;No, that region is mine;Cette région est mienne !;Nein, jenes Gebiet gehört mir;;No, esa región es mía;;;;;;;;;x
EVTOPTB_SOA_1209;Mystic Soldiers? Pah!;Des soldats mystiques ? Encore une secte d'illuminés !;Mystische Soldaten? Pah!;;¿Soldados místicos? ¡Bah!;;;;;;;;;x
EVTOPTB_SOA_1353;No, that region is mine;Non, cette région m'appartient.;Nein, das Gebiet gehört mir.;;No, esa región es mía;;;;;;;;;x
EVTOPTB_SOA_1553;No, that region is mine;Non, cette région et ses richesses m'appartiennent.;Nein, das Gebiet gehört mir.;;No, esa región es mía;;;;;;;;;x
EVTOPTB_SOA_1609;These clerics should stay in their monestaries.;Ils n'auraient jamais dû sortir de leurs monastères.;Diese Kleriker sollten in ihren Klöstern bleiben.;;Estos clérigos deberían quedarse en sus monasterios.;;;;;;;;;x
EVTOPTB_SOA_1709;Saint who?;Saint qui ? Jamais entendu parler !;Der Heilige Wer?;;¿San qué?;;;;;;;;;x
EVTOPTB_SOA_1809;Immortals? Pah, relics of the past.;De simples reliques du passé.;Unsterbliche? Pah, Relikte der Vergangenheit!;;¿Inmortales? Bah, reliquias del pasado.;;;;;;;;;x
EVTOPTB_SOA_1909;Radicals and extremists, the whole lot!;Des extrémistes !;Ein Haufen radikaler Extremisten!;;Radicales y extremistas, ¡el lote completo!;;;;;;;;;x
EVTOPTB_SOA_2009;What will these barbarians think of next?;On ne sait pas de quoi ces barbares sont capables !;Was wird diesen Barbaren noch alles einfallen?;;¿Qué se les ocurrirá a estos bárbaros ahora?;;;;;;;;;x
EVTOPTB_SOA_2609;Worrying...;C'est inquiétant...;Bedenklich...;;Preocupante...;;;;;;;;;x
EVTOPTB_SOA_2709;More sheep to the slaughter!;De pauvres innocents seront massacrés...;Mehr Schafe für die Schlachtbank!;;¡Más corderos al matadero!;;;;;;;;;x
EVTOPTB_SOA_2990;I'll permit them to stay. For now.;Je les autorise à rester. Pour le moment.;Sie dürfen bleiben. Vorerst.;;Dejaré que se queden. Por ahora.;;;;;;;;;x

EVTOPTC_SOA_1003;Never!;Jamais ! ;Niemals!;;¡Jamás!;;;;;;;;;x

EVTTITLE_SOA_1209;The Bektashi Order;La Confrérie bektachie;Der Bektaschi-Orden;;La Orden Bektashi;;;;;;;;;x
EVTTITLE_SOA_1609;Brotherhood of the Holy Sepulchre;Confrérie du Saint-Sépulcre;Bruderschaft vom Heiligen Grab;;Hermandad del Santo Sepulcro;;;;;;;;;x
EVTTITLE_SOA_1709;The Order of Saint Anthony;L'Ordre de Saint Antoine;Der Orden des Heiligen Antonius;;La Orden de San Antonio;;;;;;;;;x
EVTTITLE_SOA_1809;The Immortals;Les Immortels;Die Unsterblichen;;Los Inmortales;;;;;;;;;x
EVTTITLE_SOA_1909;The Zealots;Les Zélotes;Die Zeloten;;Los zelotes;;;;;;;;;x
EVTTITLE_SOA_2009;The Lords of the Sky;Les Seigneurs du Ciel;Die Herren des Himmels;;Los Señores del Cielo;;;;;;;;;x
EVTTITLE_SOA_2109;The Spirit Guardians;Les Gardiens des Esprits;Die Wächter der Geister;;Guardianes de los Espíritus ;;;;;;;;;x
EVTTITLE_SOA_2209;The Warriors of Perun;Les Guerriers de Péroun;Die Krieger von Perun;;Los Guerreros de Perún;;;;;;;;;x
EVTTITLE_SOA_2309;The Chosen of Perkunas;Les Élus de Perkunas;Die Erwählten des Perkunas!;;Los Elegidos de Perkunas;;;;;;;;;x
EVTTITLE_SOA_2409;The Sons of Kaleva;Les Fils de Kaleva;Die Söhne Kalevas;;Los Hijos de Kaleva;;;;;;;;;x
EVTTITLE_SOA_2509;The Cult of Huitzilopochtli;Le Culte de Huitzilopochtli;Der Kult des Huitzilopochtli;;El Culto a Huitzilopochtli;;;;;;;;;x
EVTTITLE_SOA_2609;The Knights of Santiago;L'Ordre de Santiago;Die Jakobsritter;;Los Caballeros de Santiago;;;;;;;;;x
EVTTITLE_SOA_2709;The Knights of Calatrava;L'Ordre de Calatrava;Die Ritter von Calatrava;;Los Caballeros de Calatrava;;;;;;;;;x
EVTTITLE_SOA_2809;The Order of Saint Addai;L'Ordre de saint Thaddée;Der Orden des Heiligen Thaddeus;;La Orden de San Aday;;;;;;;;;x

EVTTOOLTIP_SOA_1032;[From.GetTitledFirstName] becomes a Knight Templar.;[From.Get_Le_TitledFirstName] devient un Templier.;[From.GetTitledFirstName] wird Tempelritter.;;[From.GetTitledFirstName] se convierte en Caballero Templario.;;;;;;;;;x
EVTTOOLTIP_SOA_1033;[From.GetTitledFirstName] is disappointed.;La déception [From.Get_du_TitledFirstName] est grande.;[From.GetTitledFirstName] ist enttäuscht.;;[From.GetTitledFirstName] está decepcionado.;;;;;;;;;x
EVTTOOLTIP_SOA_1132;[From.GetTitledFirstName] becomes a Knight Hospitaller.;[From.Get_Le_TitledFirstName] devient un Hospitalier.;[From.GetTitledFirstName] wird Ritter des Johanniterordens.;;[From.GetTitledFirstName] se convierte en Caballero Hospitalario.;;;;;;;;;x
EVTTOOLTIP_SOA_1232;[From.GetTitledFirstName] joins the Bektashi Order.;[From.Get_Le_TitledFirstName] a rejoint la Confrérie bektachie.;[From.GetTitledFirstName] tritt dem Bektaschi-Orden bei.;;[From.GetTitledFirstName] se une a la Orden Bektashi.;;;;;;;;;x
EVTTOOLTIP_SOA_1332;[From.GetTitledFirstName] joins the Teutonic Order.;[From.Get_Le_TitledFirstName] rejoint l'Ordre teutonique.;[From.GetTitledFirstName] tritt dem Deutschen Orden bei.;;[From.GetTitledFirstName] se une a la Orden Teutónica.;;;;;;;;;x
EVTTOOLTIP_SOA_1432;[From.GetTitledFirstName] joins the Hashshashins.;[From.Get_Le_TitledFirstName] a rejoint les Hashshâshîns.;[From.GetTitledFirstName] schließt sich den Haschaschin an.;;[From.GetTitledFirstName] se une a los Hashshashins.;;;;;;;;;x
EVTTOOLTIP_SOA_1532;[From.GetTitledFirstName] becomes a Jomsviking.;[From.Get_Le_TitledFirstName] devient Jomsviking.;[From.GetTitledFirstName] wird Jomswikinger.;;[From.GetTitledFirstName] se convierte en Jomsviking.;;;;;;;;;x
EVTTOOLTIP_SOA_1632;[From.GetTitledFirstName] becomes a member of the Brotherhood.;[From.Get_Le_TitledFirstName] devient membre de l'Ordre.;[From.GetTitledFirstName] wird Mitglied der Bruderschaft.;;[From.GetTitledFirstName] se convierte en miembro de la Hermandad.;;;;;;;;;x
EVTTOOLTIP_SOA_1732;[From.GetTitledFirstName] becomes a Knight of Saint Anthony.;[From.Get_Le_TitledFirstName] devient un chevalier de Saint Antoine.;[From.GetTitledFirstName] wird Ritter des Heiligen Antonius.;;[From.GetTitledFirstName] se convierte en caballero de San Antonio.;;;;;;;;;x
EVTTOOLTIP_SOA_1832;[From.GetTitledFirstName] becomes an Immortal.;[From.Get_Le_TitledFirstName] devient un Immortel.;[From.GetTitledFirstName] wird Unsterblicher.;;[From.GetTitledFirstName] se convierte en inmortal.;;;;;;;;;x
EVTTOOLTIP_SOA_1932;[From.GetTitledFirstName] becomes a Zealot.;[From.Get_Le_TitledFirstName] rejoint les Zélotes.;[From.GetTitledFirstName] wird Zelot.;;[From.GetTitledFirstName] se convierte en Zelote.;;;;;;;;;x
EVTTOOLTIP_SOA_2032;[From.GetTitledFirstName] becomes a Sky Lord.;[From.Get_Le_TitledFirstName] devient un Seigneur du Ciel.;[From.GetTitledFirstName] wird Herr des Himmels;;[From.GetTitledFirstName] se convierte en Señor del cielo.;;;;;;;;;x
EVTTOOLTIP_SOA_2132;[From.GetTitledFirstName] becomes a Spirit Guardian.;[From.Get_Le_TitledFirstName] devient un Gardien des Esprits.;[From.GetTitledFirstName] wird Wächter der Geister;;[From.GetTitledFirstName] se convierte en Guardián de los Espíritus.;;;;;;;;;x
EVTTOOLTIP_SOA_2232;[From.GetTitledFirstName] becomes a Warrior of Perun.;[From.Get_Le_TitledFirstName] rejoint les Guerriers de Péroun.;[From.GetTitledFirstName] wird Krieger von Perun;;[From.GetTitledFirstName] se convierte en Guerrero de Perún.;;;;;;;;;x
EVTTOOLTIP_SOA_2332;[From.GetTitledFirstName] becomes a Chosen of Perkunas.;[From.Get_Le_TitledFirstName] rejoint les Élus de Perkunas.;[From.GetTitledFirstName] wird Erwählter von Perkunas;;[From.GetTitledFirstName] se convierte en Elegido de Perkunas.;;;;;;;;;x
EVTTOOLTIP_SOA_2432;[From.GetTitledFirstName] becomes a Son of Kaleva.;[From.Get_Le_TitledFirstName] rejoint les Fils de Kaleva.;[From.GetTitledFirstName] wird ein Sohn Kalevas;;[From.GetTitledFirstName] se convierte en Hijo de Kaleva.;;;;;;;;;x
EVTTOOLTIP_SOA_2532;[From.GetTitledFirstName] becomes a member of the Cult of Huitzilopochtli.;[From.Get_Le_TitledFirstName] devient membre du Culte de Huitzilopochtli.;[From.GetTitledFirstName] wird Mitglied im Kult des Huitzilopochtli.;;[From.GetTitledFirstName] se convierte en miembro del Culto a Huitzilopochtli.;;;;;;;;;x
EVTTOOLTIP_SOA_2632;[From.GetTitledFirstName] becomes a Knight of Santiago.;[From.Get_Le_TitledFirstName] rejoint l'Ordre de Santiago.;[From.GetTitledFirstName] wird Ritter des Heiligen Jakob.;;[From.GetTitledFirstName] se convierte en Caballero de Santiago.;;;;;;;;;x
EVTTOOLTIP_SOA_2732;[From.GetTitledFirstName] becomes a Knight of Calatrava.;[From.Get_Le_TitledFirstName] rejoint l'Ordre de Calatrava.;[From.GetTitledFirstName] wird Ritter von Calatrava.;;[From.GetTitledFirstName] se convierte en Caballero de Calatrava.;;;;;;;;;x
EVTTOOLTIP_SOA_2832;[From.GetTitledFirstName] becomes a Knight of Saint Addai.;[From.Get_Le_TitledFirstName] devient chevalier de saint Thaddée.;[From.GetTitledFirstName] wird ein Ritter des heiligen Thaddeus.;;[From.GetTitledFirstName] se convierte en caballero de San Aday.;;;;;;;;;x

HOLY_ORDER_BORROW_ALT;Most virtuous [Root.GetTitledFirstName], of course we can lend you 300 gold. All that we ask in return is your future assistance in certain matters as they might arise. May [target_grandmaster.Religion.GetHighGodName] bless you,\n\nGrand Master [target_grandmaster.GetFirstName];Humble [Root.GetTitledFirstName], bien sûr que nous pouvons vous prêter 300 pièces d'or. Cependant, nous vous demanderons en contrepartie votre aide si certains besoins se faisaient sentir.\n\nPuissiez-vous être béni[Root.Get_E] par [target_grandmaster.Get_le_HighGod],\nGrand Maître [target_grandmaster.GetFirstName];Hochwohlgeborene[Root.GetrMale] [Root.GetTitledFirstName], natürlich können wir euch 300 Gold leihen. Alles, was wir als Gegenleistung verlangen, ist eure zukünftige Unterstützung in bestimmten Angelegenheiten. Möge [target_grandmaster.Religion.GetHighGodName] euch segnen,\n\nGroßmeister [target_grandmaster.GetFirstName];;Virtuos[Root.GetOA] [Root.GetTitledFirstName], por supuesto que podemos prestaros 300 monedas de oro. Solamente os pediríamos vuestra ayuda en ciertos asuntos que puedan aparecer en el futuro. Que [target_grandmaster.Religion.GetHighGodName] os bendiga.\n\nGran Maestre [target_grandmaster.GetFirstName];;;;;;;;;x
