# Slots
ceremonial_torso;Ceremonial Gown;Robe de cérémonie;Zeremonielles Kleid;;Vestimenta ceremonial;;;;;;;;;x
bow_tier_4_eagle_desc;A legendary bow said to have been crafted out of the bones a mythical eagle.;Un arc légendaire dit avoir été fabriqué à partir des os d'un aigle mythique.;Ein legendärer Bogen, der angeblich aus den Knochen eines mysteriösen Adlers gebaut wurde.;;Un arco legendario, se dice que fue hecho con los huesos de un águila mítica.;;;;;;;;;x
bow_tier_4_lightning;Lightning Strike;Attaque Foudroyante;Blitzschlag;;Golpe relámpago;;;;;;;;;x
bow_tier_4_lightning_desc;A legendary bow said to be crafted in the middle of a storm, and infused with its very essence.;Un arc légendaire dit avoir été conçu au milieu d'une tempête et imprégné de son essence.;Ein legendärer Bogen, der angeblich inmitten eines Sturm geschmiedet wurde und mit seiner Essenz gefüllt ist.;;Un arco legendario, se dice que lo hicieron durante una tormenta, cuya misma esencia tiene imbuida.;;;;;;;;;x
bow_tier_4_silent_wind;Death Wind;Souffle de la Mort;Todeswind;;Viento de Muerte;;;;;;;;;x
bow_tier_4_silent_wind_desc;A legendary bow said to be infused with the souls of the dead.;Un arc légendaire dit être imprégné des âmes des morts.;Ein legendärer Bogen, der angeblich mit den Seelen der Toten gefüllt ist.;;Un arco legendario, supuestamente imbuido con las almas de los muertos.;;;;;;;;;x
buddhas_tooth;The Tooth of Buddha;La Dent de Bouddha;Der Zahn Buddhas;;El diente de Buda;;;;;;;;;x
buddhas_tooth_desc;This is the tooth of Buddha that was once smuggled out of Kalinga. It is one of the most holy relics in existence from the Great Buddha and its custody requires the kingliest of qualities.;C'est la dent de Bouddha qui a été autrefois sortie clandestinement de Kalinga. C'est une des reliques les plus saintes existant de Bouddha et la détenir requiert les plus grandes des qualités.;Hierbei handelt es sich um den Zahn Buddhas, wie er aus Kalinga herausgeschmuggelt wurde. Als heiligstes Relikt des großen Buddha stellt seine Aufbewahrung höchste Ansprüche an die Moralität des Halters.;;Este es el diente de Buda que una vez se sacó a escondidas de Kalinga. Es una de las reliquias existentes más sagradas del Gran Buda y su custodia requiere la mayor de las realezas.;;;;;;;;;x
celestial_necklace;Celestial Necklace;Collier céleste;Himmlische Halskette;;Collar celestial;;;;;;;;;x
celestial_necklace_2;Celestial Necklace;Collier céleste;Himmlische Halskette;;Collar celestial;;;;;;;;;x
celestial_necklace_2_desc;With its dozens upon dozens of diamonds and sapphires, this necklace is as beautiful as the night sky itself. Its centerpiece is a marvelous, walnut-sized blue diamond.;Avec ses dizaines de diamants et de saphirs, ce collier est aussi beau que le ciel nocturne lui-même. Sa pièce maîtresse est un merveilleux diamant bleu de la taille d'une noix.;Diese Halskette mit Dutzenden und Aberdutzenden von Diamanten und Saphiren ist so schön wie der Nachthimmel selbst. Das Kernstück bildet ein prächtiger blauer Diamant, der so groß wie eine Walnuss ist.;;Con sus cientos de diamantes y zafiros, este collar es más hermoso que el cielo nocturno. Su pieza central es un maravilloso diamante azul del tamaño de una nuez.;;;;;;;;;x
celestial_necklace_desc;With its dozens upon dozens of diamonds and sapphires, this necklace is as beautiful as the night sky itself. Its centerpiece is a marvelous, walnut-sized blue diamond.;Avec ses dizaines de diamants et de saphirs, ce collier est aussi beau que le ciel nocturne lui-même. Sa pièce maîtresse est un merveilleux diamant bleu de la taille d'une noix.;Diese Halskette mit Dutzenden und Aberdutzenden von Diamanten und Saphiren ist so schön wie der Nachthimmel selbst. Das Kernstück bildet ein prächtiger blauer Diamant, der so groß wie eine Walnuss ist.;;Con sus cientos de diamantes y zafiros, este collar es más hermoso que el cielo nocturno. Su pieza central es un maravilloso diamante azul del tamaño de una nuez.;;;;;;;;;x
ceremonial_axe;Ceremonial Axe;Hache cérémonielle;Zeremonienaxt;;Hacha ceremonial;;;;;;;;;x
ceremonial_axe_desc;A beautiful ceremonial axe set with polished colored stones.;Une belle hache de cérémonie avec des pierres colorées et polies.;Eine schöne Zeremonienaxt, die mit polierten bunten Steinen besetzt ist.;;Una preciosa hacha ceremonial con piedras pulidas de distintos colores.;;;;;;;;;x
chains_of_st_peter;Chains of St. Peter;Les chaînes de saint Pierre;Ketten des hl. Petrus;;Cadenas de san Pedro;;;;;;;;;x
chains_of_st_peter_desc;The chains that held St. Peter in Herod's dungeon, until the saint was released and led to freedom by an angel.;Les chaînes qui tenaient saint Pierre dans le cachot d'Hérode, jusqu'à ce que le saint soit libéré par un ange.;Die Ketten, die man dem hl. Petrus im Kerker von Herodes angelegt hatte, bis er freikam und ein Engel ihn in die Freiheit führte.;;Las cadenas que retuvieron a san Pedro en la mazmorra de Herodes, hasta que un ángel lo liberó.;;;;;;;;;x
chinese_arm_protector;Chinese Arm Protector;Brassard chinois;Chinesischer Armschutz;;Protector de brazo chino;;;;;;;;;x
chinese_arm_protector_desc;An elaborately decorated brocade armband - it depicts five stars in the night sky.;Un brassard de brocart très élaboré - il représente cinq étoiles dans le ciel nocturne.;Eine aufwändig dekorierte Armbinde aus Brokat. Sie zeigt 5 Sterne im Nachthimmel.;;Un brazalete brocado muy adornado que muestra cinco estrellas en el cielo nocturno.;;;;;;;;;x
chinese_arm_protector_name;[offmap_china.GetShortName] Arm Protector;Brassard de la [offmap_china.GetShortName];Armschutz von [Root.Offmap.GetShortName];;Protector de brazo de [Root.Offmap.GetShortName];;;;;;;;;x
chinese_artwork;[offmap_china.GetShortName] Artwork;Peinture de la [offmap_china.GetShortName];[offmap_china.GetShortName] Kunstwerk;;Obra del arte [offmap_china.GetShortName];;;;;;;;;x
chinese_artwork_desc;An inspiring piece of art created by a renowned painter from China, it makes you feel as if you yourself were sitting in the far away lands of the Middle Kingdom.;Une oeuvre d'art inspirante créée par un peintre de renom en provenance de Chine. Cela vous fait comme si vous étiez assis dans les terres lointaines de l'Empire du Milieu.;Ein inspirierendes Kunstwerk von einem renommierten Maler aus China. Es fühlt sich an, als säße man selbst in dem weit entfernten Ländern des Mittleren Reiches.;;Una obra de arte inspiradora creada por un famoso pintor chino, nos hace sentir como en las lejanas tierras del Reino Central.;;;;;;;;;x
chinese_artwork_name;[offmap_china.GetShortName] Artwork;Peinture de la [offmap_china.GetShortName];Kunstwerk aus [offmap_china.GetShortName];;Obra de arte [offmap_china.GetShortName];;;;;;;;;x
chinese_book_economy;Chinese Economic Chronicle;Chronique économique chinoise;Chinesische Wirtschaft;;Crónica económica china;;;;;;;;;x
chinese_book_economy_desc;A beautiful book bound with great care. Its outlining of the general principles of economy and trade seems incredibly insightful.;Un beau livre relié avec beaucoup de soin. La définition des principes généraux de l'économie et du commerce semble incroyablement pertinente.;Ein schönes Buch, das mit großer Sorgfalt gebunden ist. Seine Beschreibung der allgemeinen Grundsätze der Wirtschaft und des Handels sind sehr aufschlussreich.;;Un hermoso libro envuelto con gran cuidado. Sus explicaciones de los principios generales de economía y comercio son muy reveladoras.;;;;;;;;;x
chinese_book_economy_name;[offmap_china.Governor.GetFirstName]'s Chronicle of Economic Principle;Chronique de principes économiques de [offmap_china.Governor.GetFirstName];Chronik wirtschaftlicher Grundsätze von [Root.GetFirstName];;Crónica de principios económicos de [Root.GetFirstName];;;;;;;;;x
chinese_book_health;Chinese Compendium of Medicine;Compendium chinois de médecine;Chinesische Medizin;;Compendio de medicina china;;;;;;;;;x
chinese_book_health_desc;This beautifully bound book tells of the many fascinating aspects of Chinese medicine and its various uses.;Ce livre joliment relié décrit les nombreux aspects fascinants de la médecine chinoise et de ses diverses utilisations.;Dieses schön gebundene Buch erzählt von den vielen faszinierenden Aspekten der chinesischen Medizin und ihrer verschiedenen Anwendungen.;;Este hermoso libro nos cuenta muchos de los fascinantes aspectos de la medicina china y sus diversos usos.;;;;;;;;;x
chinese_book_health_name;[offmap_china.GetShortName] Compendium of Medicine;Compendium de la médecine de la [offmap_china.GetShortName];Kompendium der Medizin von [Root.Offmap.GetShortName];;Compendio de medicina de [Root.Offmap.GetShortName];;;;;;;;;x
chinese_book_history;Chinese History Book;Livre d'histoire chinois;Chinesische Geschichte;;Libro de historia china;;;;;;;;;x
chinese_book_history_desc;A book detailing the lives of the Emperors of one of the great dynasties of China. Not a very exciting read, but it does inspire thoughts of having a dynasty as grand as theirs.;Un livre détaillant la vie des empereurs d'une des grandes dynasties de Chine. Pas une lecture très excitante, mais c'est inspirant d'avoir une dynastie aussi grande que la leur.;Ein Buch, das das Leben der Kaiser der großen Dynastien Chinas darstellt. Nicht sehr aufregend zu lesen, aber fördert den Gedanken, eine Dynastie so großartig wie die ihre zu haben.;;Un libro que narra las vidas de los emperadores de una de las grandes dinastías de China. No es una lectura muy emocionante, pero inspira la idea de tener una dinastía tan grande como la suya.;;;;;;;;;x
chinese_book_history_name;History of [offmap_china.GetShortName];Histoire de la [offmap_china.GetShortName];Geschichtsbuch von [Root.Offmap.GetShortName];;Libro de historia de [Root.Offmap.GetShortName];;;;;;;;;x
chinese_book_law;Chinese Treatise on Law;Traité chinois sur le droit;Chinesische Gesetze;;Tratado de ley china;;;;;;;;;x
chinese_book_law_desc;An ornate book bound with silk. Its beautiful formulations and elegant phrasings describe Confucian law in mesmerizing detail.;Un livre orné de soie. Ses formidables formulations et ses phrasés élégants décrivent la loi confucéenne avec des détails fascinants.;Ein aufwändig verziertes Buch, das mit Seide gebunden ist. Seine geschmeidigen Formulierungen und eleganten Phrasen beschreiben das konfuzianische Gesetz mit faszinierenden Details.;;En adornado libro envuelto en seda. Sus hermosas fórmulas y frases elegantes describen la ley confuciana con un detalle hipnótico.;;;;;;;;;x
chinese_book_law_name;[offmap_china.GetShortName] Treatise on Law;Traité sur le droit de la [offmap_china.GetShortName];Gesetzesabhandlung von [Root.Offmap.GetShortName];;Tratado de ley de [Root.Offmap.GetShortName];;;;;;;;;x
chinese_bronze_sculpture;Bronze Sculpture;Sculpture en bronze;Bronzeskulptur;;Escultura de bronce;;;;;;;;;x
chinese_bronze_sculpture_desc;A fantastic bronze rendition of a majestic beast mid-stride. The graceful movement of the subject is truly inspiring!;Une formidable reproduction en bronze d'une majestueuse bête qui court. Ce mouvement gracieux est vraiment stimulant !;Eine fantastische Bronzedarstellung eines majestätischen Biestes. Die anmutige Bewegung des Subjekts ist wahrlich inspirierend!;;Una fantástica interpretación en bronce de una bestia magnífica a punto de golpear. ¡El movimiento grácil del sujeto es muy inspirador!;;;;;;;;;x
chinese_bronze_sculpture_name;[offmap_china.GetShortName] Bronze Sculpture;Sculpture en bronze de la [offmap_china.GetShortName];Bronzeskulptur von [Root.Offmap.GetShortName];;Escultura de bronce de [Root.Offmap.GetShortName];;;;;;;;;x
chinese_calligraphy;[offmap_china.GetShortName] Calligraphy;Calligraphie de la [offmap_china.GetShortName];[offmap_china.GetShortName] Kalligraphie;;Caligrafía [offmap_china.GetShortName];;;;;;;;;x
chinese_calligraphy_desc;This painting shows the flow and beauty of Chinese writing - clearly the work of a true master.;Cette peinture met en lumière le mouvement et la beauté de la calligraphie chinoise - clairement le travail d'un maître.;Diese Malerei zeigt den Fluss und die Schönheit des chinesischen Schreibens. Wahrlich das Werk eines Meisters.;;Esta pintura muestra la fluidez y belleza de la escritura china. Obviamente, es obra de un gran maestro.;;;;;;;;;x
chinese_calligraphy_name;[offmap_china.GetShortName] Calligraphy;Calligraphie de la [offmap_china.GetShortName];Kalligraphie aus [offmap_china.GetShortName];;Caligrafía [offmap_china.GetShortName];;;;;;;;;x
chinese_ceremonial_robes;Ceremonial Robes;Robes de cérémonie;Zeremonielle Roben;;Vestimenta ceremonial;;;;;;;;;x
chinese_ceremonial_robes_desc;A set of traditional Chinese robes used in diplomatic functions, the wearer of these robes stands out and projects an air of power and authority.;Un assortiment de robes traditionnelles chinoises utilisées dans les fonctions diplomatiques. Le porteur de ces robes se distingue par une impression de pouvoir et d'autorité.;Eine Reihe von traditionellen [From.OriginalOwner.Culture.GetName]en Roben, die in diplomatischen Funktionen verwendet werden und den Träger dieser Robe damit auszeichnet, Macht und Autorität zu haben.;;Un conjunto de túnicas tradicionales chinas, utilizadas para funciones diplomáticas. Quien las viste destaca y proyecta un aura de poder y autoridad.;;;;;;;;;x
chinese_crossbow;Zhuge Crossbow;Arbalète Zhuge;Zhuge-Armbrust;;Ballesta zhuge;;;;;;;;;x
chinese_crossbow_desc;An elaborate mechanical contraption capable of rapidly firing arrows, even when used with only one hand.;Un engin mécanique élaboré capable de tirer rapidement des flèches, même lorsqu'il est utilisé avec une seule main.;Eine aufwändige mechanische Konstruktion, die in der Lage ist, blitzschnell Pfeile abzufeuern, auch wenn sie mit nur einer Hand benutzt wird.;;Un mecanismo complicado capaz de disparar flechas rápidamente, aunque usando solo una mano.;;;;;;;;;x
chinese_dragon_amulet;Dragon Amulet;Amulette dragon;Drachenamulett;;Amuleto de dragón;;;;;;;;;x
chinese_dragon_amulet_desc;A golden amulet in the shape of two dragons entwined together, each dragon head adorned with shining gemstones for eyes.;Une amulette en or en forme de deux dragons entrelacés, chaque tête de dragon est ornée de gemmes brillantes en guise d'yeux.;Ein goldenes Amulett in Form von zwei Drachen, die miteinander verschlungen sind. Jeder Drachenkopf ist mit glänzenden Edelsteinen für die Augen geschmückt.;;Un amuleto dorado en forma de dos dragones entrelazados, con sus cabezas decoradas con gemas por ojos.;;;;;;;;;x
chinese_figurine_name;Figurine of [offmap_china.PrevRuler.GetFullName];Figurine de [offmap_china.PrevRuler.GetFullName];Statuette von [offmap_china.PrevRuler.GetFullName];;Estatuilla de [offmap_china.PrevRuler.GetFullName];;;;;;;;;x
chinese_ji;Ji;Ji;Ji;;Ji;;;;;;;;;x
chinese_ji_desc;A beautifully adorned spear with a crescent blade attached off its side.;Une lance joliment ornée avec une lame croissante attachée sur le côté.;Ein wunderschön geschmückter Speer mit einer halbmondförmigen Klinge, die an seiner Seite befestigt ist.;;Una lanza hermosamente adornada con una hoja en forma de media luna en su extremo.;;;;;;;;;x
