#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTTITLEHF25200;The Arm-wrestling Challenge;Le défi du bras de fer;Die Armdrücken-Herausforderung;;El desafío del pulso;;;;;;;;x
TT_EVTOPTAHF25284;You begin drinking.;Vous commencez à boire.;Ihr fang an zu trinken.;;Empiezas a beber.;;;;;;;;x
TT_EVTOPTAHF25288;Try spilling most of your drink at each new round.;Vous essayez de renverser la plus grande partie de votre boisson à chaque nouveau remplissage.;Versucht den Großteil eures Mets bei jeder neuen Runde zu verschütten.;;Trata de derramar la mayor parte de su bebida en cada nueva ronda.;;;;;;;;x
TT_EVTOPTAHF25289;Ignore §Y[From.GetFirstName]§! cheating.;Vous ignorez la triche de §Y[From.GetFirstName]§!.;Ignoriert das Schummeln von §Y[From.GetFirstName]§!.;;No hagas caso de las trampas de §Y[From.GetFirstName]§!;;;;;;;;x
TT_EVTOPTAHF25290;Your fellow warriors will remember your slight.;Vos compagnons guerriers se souviendront de votre offense.;Eure Kriegerbrüder werden sich daran erinnern.;;Tus colegas guerreros recordarán este desaire.;;;;;;;;x

TT_EVTOPTBHF25200;Challenge §Y[arm_wrestling_opponent_2.GetTitledFirstName]§! to an arm-wrestling match.;Vous défiez §Y[arm_wrestling_opponent_2.Get_le_TitledFirstName]§! au bras de fer.;Fordert §Y[arm_wrestling_opponent_2.GetTitledFirstName]§! zum Armdrücken heraus.;;Desafía a §Y[arm_wrestling_opponent_2.GetTitledFirstName]§! a un pulso.;;;;;;;;x
TT_EVTOPTBHF25201;Refuse §Y[From.GetTitledFirstName]§!'s challenge.\nYour fellow §YWarriors§! will remember this cowardly act.;Vous refusez le défi [From.Get_du_TitledFirstNameJ].\nVos compagnons §Yguerriers§! se souviendront de cet acte lâche.;Lehnt die Herausforderung von §Y[From.GetTitledFirstName]§! ab.\nEure §YKrieger§!-Brüder werden diesen feigen Akt nicht vergessen.;;Rechaza el desafío de §Y[From.GetTitledFirstName]§!.\nTus colegas §Yguerreros§! recordarán este acto cobarde.;;;;;;;;x
TT_EVTOPTBHF25250;Challenge §Y[flyting_potential_opponent_2.GetTitledFirstName]§! to a contest of dialectics.;Défier [flyting_potential_opponent_2.Get_le_TitledFirstNameJ] à un concours de dialectique.;Fordert §Y[flyting_potential_opponent_2.GetTitledFirstName]§! zu einem Wettbewerb der Dialektik heraus.;;Desafía a §Y[flyting_potential_opponent_2.GetTitledFirstName]§! a un concurso de dialéctica.;;;;;;;;x
TT_EVTOPTBHF25288;Focus your energies entirely on winning the match.;Vous concentrez vos énergies entièrement sur la victoire du concours.;Fokussiert Eure Energie ganz darauf, das Spiel zu gewinnen.;;Centra completamente las energías en ganar el reto;;;;;;;;x
TT_EVTOPTBHF25289;Expose §Y[From.GetFirstName]§!.;Vous dénoncez §Y[From.GetFirstName]§!.;Entlarvt §Y[From.GetFirstName]§!.;;Descubre a §Y[From.GetFirstName]§!;;;;;;;;x

TT_EVTOPTCHF25200;Challenge §Y[arm_wrestling_opponent_3.GetTitledFirstName]§! to an arm-wrestling match.;Vous défiez §Y[arm_wrestling_opponent_3.Get_le_TitledFirstName]§! au bras de fer.;Fordert §Y[arm_wrestling_opponent_3.GetTitledFirstName]§! zum Armdrücken heraus.;;Desafía a §Y[arm_wrestling_opponent_3.GetTitledFirstName]§! a un pulso.;;;;;;;;x
TT_EVTOPTCHF25229;Throw the die.;Vous jetez le dé.;Werft den Würfel.;;Tira el dado.;;;;;;;;x
TT_EVTOPTCHF25250;Challenge §Y[flyting_potential_opponent_3.GetTitledFirstName]§! to a contest of dialectics.;Défier [flyting_potential_opponent_3.Get_le_TitledFirstNameJ] à un concours de dialectique.;Fordert §Y[flyting_potential_opponent_3.GetTitledFirstName]§! zu einem Wettbewerb der Dialektik heraus.;;Desafía a §Y[flyting_potential_opponent_3.GetTitledFirstName]§! a un concurso de dialéctica.;;;;;;;;x

TT_DIE_TABLE_BUMP_DISCOVERED;the other warriors noticing that you are trying to cheat.;les autres guerriers remarquent que vous essayez de tricher.;Die anderen Krieger bemerken, dass Ihr zu Schummeln versucht.;;los otros guerreros notan que quieres hacer trampas.;;;;;;;;x
TT_DIE_TABLE_BUMP_FAILS;being unable to push the die properly.;vous n'arrivez pas à pousser le dé correctement.;nicht in der Lage den Würfel richtig zu Hauen.;;eres incapaz de mover bien el dado.;;;;;;;;x
TT_DIE_TABLE_BUMP_WINS;your trick working.;votre ruse fonctionne.;Euer Trick gelingt.;;el truco funciona.;;;;;;;;x

TT_FAKE_DIE_DISCOVERED;your trick being discovered.;votre ruse est découverte.;Euer Trick wurde entdeckt.;;descubren tu truco.;;;;;;;;x
TT_FAKE_DIE_WINS;you successfully tricking the other warriors.;vous avez réussi à tromper les autres guerriers.;Ihr trickst die anderen Krieger erfolgreich aus.;;logras engañar a los otros guerreros.;;;;;;;;x

TT_FLYTING_INSULT_AVERAGE_REACTION;You hear the crowd snickering at you.;Vous entendez la foule ricaner à propos de vous.;Ihr hört die Menge über Euch lachen.;;Oyes que la gente se ríe de ti.;;;;;;;;x
TT_FLYTING_INSULT_LOST_PATIENCE_REACTION;You lose your patience.;Vous perdez patience.;Ihr verliert Eure Geduld.;;Pierdes la paciencia.;;;;;;;;x
TT_FLYTING_INSULT_MILD_REACTION;[From.GetFirstName]'s words barely affect you.;Les mots de [From.GetFirstName] vous affectent à peine.;Die Worte von [From.GetFirstName] kommen kaum an Euch heran.;;Las palabras de [From.GetFirstName] apenas te afectan.;;;;;;;;x
TT_FLYTING_INSULT_POOR_REACTION;The crowd laughs at you.;La foule se moque de vous.;Die Menge lacht über Euch.;;La gente se ríe de ti.;;;;;;;;x
TT_FLYTING_INSULTING_ACCOMPLISHMENTS;Insult §Y[From.GetFirstName]§!'s accomplishments.\nThis line of insults tends to be more effective against §YAmbitious§! and §YProud§! opponents.;Insulter les accomplissements de §Y[From.GetFirstName]§!.\nCe genre d'insultes a tendance à être plus efficace contre les adversaires aux traits §YForte ambition§! et §YOrgueil§!.;Beleidigt die Errungenschaften von §Y[From.GetFirstName]§!.\nDiese Beleidigungen tendieren dazu effektiver gegen §Yambitionierte§! und §Ystolze§! Gegner zu sein.;;Insulta los logros de §Y[From.GetFirstName]§!.\nEsta clase de insultos es más efectiva contra oponentes §Yambiciosos§! y §Yorgullosos§!.;;;;;;;;x
TT_FLYTING_INSULTING_CHARACTER;Insult §Y[From.GetFirstName]§!'s character.\nThis line of insults tends to be more effective against §YEnvious§! and §YShy§! opponents.;Insulter la personnalité de §Y[From.GetFirstName]§!\nCe genre d'insultes a tendance à être plus efficace contre les adversaires aux traits §YEnvie§! et §YTimidité§!.;Beleidigt den Charakter von §Y[From.GetFirstName]§!.\nDiese Beleidigungen tendieren dazu effektiver gegen §Yneidische§! und §Yunsichere§! Gegner zu sein.;;Insulta la personalidad de §Y[From.GetFirstName]§!.\nEsta clase de insultos es más efectiva contra oponentes §Yenvidiosos§! e §Yinseguros§!;;;;;;;;x
TT_FLYTING_INSULTING_FAMILY;Insult §Y[From.GetFirstName]§!'s family.\nThis line of insults tends to be more effective against §YKind§! opponents.;Insulter la famille de §Y[From.GetFirstName]§!\nCe genre d'insultes a tendance à être plus efficace contre les adversaires ayant le trait §YGentillesse§!.;Beleidigt die Familie von §Y[From.GetFirstName]§!.\nDiese Beleidigungen tendieren dazu effektiver gegen §Ygütige§! Gegner zu sein.;;Insulta a la familia de §Y[From.GetFirstName]§!.\nEsta clase de insultos es más efectiva contra oponentes §Yamables§!.;;;;;;;;x
TT_FLYTING_INSULTING_PROWESS;Insult §Y[From.GetFirstName]§!'s prowess.\nThis line of insults tends to be more effective towards §YLustful§! opponents.;Insulter les prouesses de §Y[From.GetFirstName]§!\nCe genre d'insultes a tendance à être plus efficace contre les adversaires ayant le trait §YLuxure§!.;Beleidigt die Tapferkeit von §Y[From.GetFirstName]§!.\nDiese Beleidigungen tendieren dazu effektiver gegen §Yliederliche§! Gegner zu sein.;;Insulta la destreza de §Y[From.GetFirstName]§!.\nEsta clase de insultos es más efectiva contra oponentes §Ylascivos§!;;;;;;;;x
TT_FLYTING_OPPONENT_REACTS;§Y[From.GetTitledFirstName]§! reacts to your attack.;[From.Get_Le_TitledFirstNameJ] réagit à votre attaque.;§Y[From.GetTitledFirstName]§! reagiert auf Euren Angriff.;;§Y[From.GetTitledFirstName]§! reacciona a tu ataque.;;;;;;;;x

TOOLTIP_EVTOPTDHF25205;Try to increase your chances by cheating.;Vous essayez d'augmenter vos chances en trichant.;Versucht Eure Chancen durchs Mogeln zu erhöhen.;;Intentas mejorar las oportunidades haciendo trampas.;;;;;;;;x
tooltip_EVTOPTYHF25230;Start a §YDuel§! with §Y[random_society_winner.GetFirstName]§! to avoid paying your debt.;Vous commencez un §Yduel§! avec §Y[random_society_winner.GetFirstName]§! pour éviter de payer votre dette.;Beginnt ein §YDuell§! mit §Y[random_society_winner.GetFirstName]§!, um zu verhindern, dass Ihr Eure Schuld zahlen müsst.;;Comienza un §Yduelo§! con §Y[random_society_winner.GetFirstName]§! para evitar pagar la deuda.;;;;;;;;x

tooltip_betting_10_gold;Bet §G10§! gold.;Parier §G10§! pièces d'or.;Setzt §G10§! Gold.;;Apuesta §G10§! de oro.;;;;;;;;x
tooltip_betting_20_gold;Bet §G20§! gold.;Parier §G20§! pièces d'or.;Setzt §G20§! Gold.;;Apuesta §G20§! de oro.;;;;;;;;x
tooltip_betting_25_gold;Bet §G25§! gold.;Parier §G25§! pièces d'or.;Setzt §G25§! Gold.;;Apuesta §G25§! de oro.;;;;;;;;x
tooltip_betting_50_gold;Bet §G50§! gold.;Parier §G50§! pièces d'or.;Setzt §G50§! Gold.;;Apuesta §G50§! de oro.;;;;;;;;x
tooltip_betting_100_gold;Bet §G100§! gold.;Parier §G100§! pièces d'or.;Setzt §G100§! Gold.;;Apuesta §G100§! de oro.;;;;;;;;x
tooltip_betting_200_gold;Bet §G200§! gold.;Parier §G200§! pièces d'or.;Setzt §G200§! Gold.;;Apuesta §G200§! de oro.;;;;;;;x
tooltip_betting_250_gold;Bet §G250§! gold.;Parier §G250§! pièces d'or.;Setzt §G250§! Gold.;;Apuesta §G250§! de oro.;;;;;;;x
tooltip_betting_500_gold;Bet §G500§! gold.;Parier §G500§! pièces d'or.;Setzt §G500§! Gold.;;Apuesta §G500§! de oro.;;;;;;;;x
tooltip_betting_1000_gold;Bet §G1000§! gold.;Parier §G1000§! pièces d'or.;Setzt §G1000§! Gold.;;Apuesta §G1000§! de oro.;;;;;;;;x
tooltip_betting_double;Bet §G[local_twice_betting_money.GetValue]§! gold.;Parier §G[local_twice_betting_money.GetValue]§! pièces d'or.;Setzt §G[local_twice_betting_money.GetValue]§! Gold.;;Apuesta §G[local_twice_betting_money.GetValue]§! de oro.;;;;;;;;x

# Unused
# tooltip_EVTOPTYHF25235;Start a §YDuel§! with §Y[random_society_winner.GetFirstName]§! to avoid paying your debt.;Vous commencez un §Yduel§! avec §Y[random_society_winner.GetFirstName]§! pour éviter de payer votre dette.;Beginnt ein §YDuell§! mit §Y[random_society_winner.GetFirstName]§!, um zu verhindern, dass Ihr Eure Schuld zahlen müsst.;;Empiezas un §Yduelo§! con §Y[random_society_winner.GetFirstName]§! para evitar pagar la deuda.;;;;;;;;x
