caught_with_forgery;Forgery Discovered;Contrefaçon découverte;Fälschung entdeckt;;Falsificación descubierta;;;;;;;;x
ate_beating_heart;Heart-Eater;Mange des coeurs;Herzfresser;;Comecorazones;;;;;;;;x
religious_tolerance;Religious Tolerance;Tolérance religieuse;Religiöse Toleranz;;Tolerancia religiosa;;;;;;;;x
religious_tolerance_desc;The Ruler has given signs of Religious Tolerance to the population.;Le dirigeant a donné des signes de tolérance religieuse à la population.;Der Herrscher hat der Bevölkerung Zeichen religiöser Toleranz gegeben.;;El gobernante ha dado a la población señales de tolerancia religiosa.;;;;;;;;x
weak_leader_modifier;Weak Leader;Chef faible;Schwacher Anführer;;Líder débil;;;;;;;;x
weak_leader_modifier_desc;Could not control [GetHerHis] own troops.;N'a pas pu contrôler ses propres troupes.;Dieser Anführer konnte nicht einmal die eigenen Truppen kontrollieren.;;No pudo controlar sus propias tropas;;;;;;;;x
strong_leader_modifier;Strong Leader;Chef fort;Starker Anführer;;Líder fuerte;;;;;;;;x
strong_leader_modifier_desc;Does not tolerate indiscipline in the army.;Ne tolère pas l'indiscipline dans son armée.;Duldet keine Undiszipliniertheit in der Armee.;;No tolera la indisciplina en el ejército.;;;;;;;;x
plundering_leader_modifier;Plundering Leader;Chef pillard;Plündernder Anführer;;Líder saqueador;;;;;;;;x
plundering_leader_modifier_desc;Likes to sack and plunder.;Aime piller.;Mag es zu brandschatzen und zu plündern.;;Le gusta saquear y rapiñar.;;;;;;;;x
leaning_tower_desc;A leaning tower dominates the landscape. This spectacular sight attracts people from afar.;Une tour penchée domine le paysage. Ce spectacle attire les visiteurs de très loin.;Ein schiefer Turm bestimmt das Landschaftsbild. Diese spektakuläre Sehenswürdigkeit zieht Besucher von weither an.;;Una torre inclinada domina el paisaje. Esta vista espectacular atrae gente de lejos.;;;;;;;;;x
caravan_raiders;Caravan Raiders;Pillards de caravanes;Karawanenplünderer;;Asaltantes de caravanas;;;;;;;;;x
caravan_raiders_desc;Raiders are ravaging the countryside making it difficult to conduct trade in this county.;Des pillards ravagent la campagne, le commerce dans ce comt?en souffre.;Plünderer, die das Umland unsicher machen, erschweren den Handel mit dieser Provinz.;;Asaltantes están asolando el campo, dificultando realizar comercio en esta provincia.;;;;;;;;;x
caravan_guards;Caravan Guards;Escorte de caravane;Karawanenwächter;;Guardias de caravana;;;;;;;;;x
caravan_guards_desc;Commissioned caravan guards protects the trade in this county;Une escorte payée pour protéger les caravanes qui parcourent le comt?Hochrangige Karawanenwächter schützen den Handel in dieser Provinz.;;Los guardias dedicados a las caravanas protegen el comercio en esta provincia;;;;;;;;;x
chinese_embargo;Chinese Embargo;Embargo chinois;China-Embargo;;Embargo chino;;;;;;;;;x
publicly_humiliated;Publicly Humiliated;Humiliation publique;Öffentliche Demütigung;;Humillado públicamente;;;;;;;;;x
publicly_humiliated_desc;This [GetGirlWomanBoyMan] has been publicly put through something absolutely humiliating, and still carries the shame.;Ce personnage a été publiquement humilié et est toujours couvert de honte.;Dieser Charakter hat öffentlich etwas absolut Erniedrigendes durchgemacht und trägt noch immer die Schande mit sich.;;Este personaje ha pasado públicamente por algo humillante y aún lleva esa vergüenza.;;;;;;;;;x
dung_collector;Dung Collector;Ramasseur de crottin;Dungkutscher;;Colector de estiércol;;;;;;;;;x
trade_governor;Trade Governor;Gouverneur commercial;Handelsgouverneur;;Gobernador de comercio;;;;;;;;;x
trade_governor_desc;The trade in this county is supervised by a proficient administrator.;Un habile gestionnaire supervise le commerce dans ce comt?;Die Aufsicht über den Handel in dieser Provinz obliegt einem fähigen Verwalter.;;El comercio en esta provincia es supervisado por un administrador competente.;;;;;;;;;x
surge_of_traders;Surge of traders;Élan commercial;Händlerschwemme;;Aumento de comerciantes;;;;;;;;;x
aspiring_trader;Aspiring Trader;Aspirant commerçant;Angehender Händler;;Aspirante a comerciante;;;;;;;;;x
aspiring_trader_desc;This [GetGirlWomanBoyMan] is starting to learn the art of making money and fame from money.;Ce personnage commence à apprendre l'art de faire de l'argent avec de l'argent.;Diese Person erlernt gerade die Kunst des Geldverdienens und wie man durch Geld zu Ruhm kommt.;;Este personaje comienza a aprender el arte de ganar dinero y fama con el dinero.;;;;;;;;;x
trader;Trader;Marchand;Händler;;Comerciante;;;;;;;;;x
trader_desc;This [GetGirlWomanBoyMan] has learned how to attract money to his coffers in all kinds of ways.;Ce personnage sait comment faire entrer l'argent dans ses coffres par toutes sortes de moyens.;Diese Person hat gelernt, wie sie auf verschiedenste Arten und Weisen ihre Säckel füllen kann.;;Este personaje ha aprendido cómo atraer el dinero a sus arcas de todas clases de formas.;;;;;;;;;x
maze_pavilion;Pavilion;Pavillon;Pavillon;;Pabellón;;;;;;;;;x
maze_pavilion_desc;This [GetGirlWomanBoyMan] has a romantic and secluded pavilion in [GetHerHis] garden.;Ce personnage possède un pavillon romantique caché au fond de son jardin.;Diese Person hat einen romantischen und abgelegenen Pavillon in ihrem Garten.;;Este personaje tiene un pabellón romántico y aislado en [GetHerHis]jardín.;;;;;;;;;x
construction_accident;Construction Accident;Accident au chantier;Bauunfall;;Accidente de construcción;;;;;;;;;x
construction_accident_desc;An accident that could've been avoided angers the population of [GetName].;Un accident qui aurait pu être évité provoque la colère de la population de [GetName].;Ein vermeidbarer Unfall erregt den Unmut der Bevölkerung von [GetName].;;Un accidente que se podría haber evitado enfurece a la población de [GetName].;;;;;;;;;x
maze_fountain;Fountain;Fontaine;Springbrunnen;;Fuente ;;;;;;;;;x
maze_fountain_desc;This [GetGirlWomanBoyMan] has a large fountain in [GetHerHis] garden.;Ce personnage possède une grande fontaine dans son jardin.;Diese Person hat einen großen Springbrunnen in ihrem Garten.;;Este personaje tiene una fuente grande en [GetHerHis]jardín.;;;;;;;;;x
maze_fountain_extravagant;Fountain;Fontaine;Springbrunnen;;Fuente;;;;;;;;;x
maze_fountain_extravagant_desc;This [GetGirlWomanBoyMan] has a large fountain in [GetHerHis] garden filled with wine.;Ce personnage possède une grande fontaine remplie de vin dans son jardin.;Diese Person hat einen großen Springbrunnen in ihrem Garten, der mit Wein gefüllt ist.;;Este personaje tiene una fuente grande en [GetHerHis] jardín, llena de vino.;;;;;;;;;x
business_contacts;Business Contacts;Relations d'affaires;Geschäftskontakte;;Contactos comerciales;;;;;;;;;x
business_contacts_desc;This [GetGirlWomanBoyMan] has helped to create a thriving business climate in the realm.;Ce personnage a aidé à la création d'un climat d'affaires prospère dans le pays.;Diese Person hat dazu beigetragen, eine positive wirtschaftliche Stimmung im Reich zu erzeugen.;;Este personaje ha ayudado a crear un clima comercial próspero en el reino.;;;;;;;;;x

# Possessed events
voice_of_jesus;Voice Of Jesus;Voix de Jésus;Jesu Stimme;;Voz de Jesús;;;;;;;;;x
voice_of_jesus_desc;The Lord Jesus Christ Speaks to me;Le Seigneur Jésus me parle ;Der Herr Jesus Christus spricht zu mir;;El Señor Jesucristo me habla;;;;;;;;;x
holy_comet;Holy Comet;Comète sainte ;Heiliger Komet;;Cometa Santo;;;;;;;;;x
holy_comet_desc;I saw a comet in the Sky, it is an Omen;J'ai aperçu une comète dans le ciel. C'est un signe.;Ich habe einen Kometen am Himmel gesehen - ein Omen!;;Vi un cometa en el cielo, es un presagio;;;;;;;;;x
voice_of_satan;Voice of Satan;Voix de Satan;Die Stimme Satans;;Voz de Satán;;;;;;;;;x

# Stressed events
stressed_commander;Stressed Commander;Commandant anxieux;Gestresster Befehlshaber;;Comandante tenso;;;;;;;;;x
misplaced_food;Misplaced the troop's food;A égaré la nourriture des troupes;Truppenrationen versteckt;;Perdida la comida de la tropa;;;;;;;;;x

# Zalous events
one_year_fasting;One year of fasting;Une année de jeûne;Ein Jahr des Fastens;;Un año de ayuno;;;;;;;;;x
religious_tract;Religious Tract;Tract religieux;Religiöses Traktat;;Tratado religioso;;;;;;;;;x
rats_in_cell;Rats in cell;Rats dans la cellule;Ratten in der Zelle;;Ratas en la celda;;;;;;;;;x
rats_in_cell_desc;Your jailer, for whatever cruel reason, released some rats in your cell.;Cruel, votre geôlier a libéré des rats dans votre cellule.;Euer grausamer Kerkermeister hat in Eurer Zelle einige Ratten freigelassen.;;Tu carcelero, por alguna cruel razón, ha soldado ratas en tu celda.;;;;;;;;;x

# Drunkard events
slept_in_church;Slept drunk in Church;A dormi dans l'église après avoir trop bu;Schlief betrunken in der Kirche;;Dormido ebrio en la iglesia;;;;;;;;;x
drunk_commander;Drunk Commander;Commandant ivre;Betrunkener Befehlshaber;;Comandante ebrio;;;;;;;;;x

# Court events
peasants_scorned;Peasant traditions scorned;Traditions paysannes méprisées;Traditionen der Bauern verachtet;;Tradiciones campesinas despreciadas;;;;;;;;;x
peasant_unrest;Peasant Unrest;Agitation des paysans;Unruhe unter den Bauern;;Agitación Campesina;;;;;;;;;x
religious_unrest;Religious Unrest;Troubles religieux;Religiöse Unruhen;;Agitación Religiosa;;;;;;;;;x
cultural_unrest;Cultural Unrest;Troubles culturels;Kulturelle Unruhen;;Agitación Cultural;;;;;;;;;x

# Pagans
minor_pagan_border_raids;Pagan Border Raids;Raids frontaliers païens;Heidnische Grenzüberfälle;;Incursiones paganas en fronteras;;;;;;;;;x
minor_pagan_border_raids_desc;Pagan raiders have plundered the county.;Des païens ont pillé le comté.;Heidnische Räuber haben die Provinz geplündert.;;Incursores paganos han saqueado la provincia.;;;;;;;;;x
major_pagan_border_raids;Major Pagan Border Raids;Raids frontaliers païens majeurs;Schwere heidnische Grenzüberfälle;;Incursiones paganas a gran escala en fronteras;;;;;;;;;x
major_pagan_border_raids_desc;Pagan raiders have plundered and ravaged the county severely.;Des païens ont lourdement pillé et mis à sac le comté.;Heidnische Räuber haben die Provinz geplündert und schwer verwüstet.;;Incursores paganos han saqueado gravemente la provincia.;;;;;;;;;x

# Rumour events
gambler;Gambler;Joueur;Spieler;; Jugador;;;;;;;;;x
whoremaster;Whoremaster;Homme à femmes;Hurenbock;;Putero;;;;;;;;;x
whoremaster_desc;You visit brothels to consort with whores;Vous fréquentez les bordels en quête de prostituées;Ihr geht in Hurenhäuser, um dort mit Metzen zu liegen;;Visitas burdeles para ir con prostitutas;;;;;;;;;x
good_deeds;Good Deeds;Bonnes actions;Gute Taten;;Buenas obras;;;;;;;;;x
good_deeds_desc;You are doing good deeds to increase your [Player.Religion.GetPietyName];Vous faites de bonnes actions pour améliorer votre [Player.Religion.GetPietyName];Ihr vollführt gute Taten zur Steigerung Eurer [Player.Religion.GetPietyName];;Estás haciendo buenas obras para aumentar tu [Player.Religion.GetPietyName].;;;;;;;;;x
proving_bravery;Proving Bravery;Preuve de bravoure;Tapferkeit beweisend;;Prueba de valor;;;;;;;;;x
proving_bravery_desc;To prove your bravery you neglect your other skills;Pour prouver votre bravoure, vous négligez d'autres compétences;Zum Beweis Eurer Tapferkeit vernachlässigt Ihr Eure anderen Fähigkeiten;;Para probar tu valor descuidas tus otras habilidades.;;;;;;;;;x
suspected_coward;Suspected Coward;Suspicion de lâcheté;Vermuteter Feigling;;Sospechoso de cobardía;;;;;;;;;x
suspected_coward_desc;As a suspected coward, your sex appeal diminishes;On vous suspecte de lâcheté, votre pouvoir de séduction diminue;Als vermuteter Feigling schwindet Eure sexuelle Anziehungskraft;;Como sospechoso de cobardía, tu atractivo disminuye.;;;;;;;;;x
ignored_confessor;Ignored Confessor's advice;A ignoré le conseil du confesseur;Ignorierte Rat des Beichtvaters;;Consejo de confesor desoído;;;;;;;;;x
peasants_upset;The Peasants are Upset;Les paysans sont en colère;Die Bauern sind aufgebracht;;Los campesinos están molestos;;;;;;;;;x
peasants_upset_desc;The injustice has upset the peasants;L'injustice met en colère les paysans;Die Ungerechtigkeit hat die Bauern in Aufruhr versetzt;;La injusticia ha molestado a los campesinos;;;;;;;;;x
public_execution;Public Execution;Exécution publique;Öffentliche Hinrichtung;;Ejecución pública;;;;;;;;;x
public_execution_desc;The public execution has calmed down the peasants;L'exécution publique a calmé les paysans;Die öffentliche Hinrichtung hat die Bauern beruhigt;;La ejecución pública ha calmado a los campesinos;;;;;;;;;x
restricted_peasant_access;Restricted Peasant Access;Accès interdit aux paysans;Beschränkter Zugang für Bauern;;Acceso restringido a campesinos;;;;;;;;;x
restricted_peasant_access_desc;At the request of the Mayor you have restricted the peasants access to the county;À la demande du maire, vous avez interdit aux paysans l'accès au comté;Auf Wunsch des Bürgermeisters habt Ihr den Zugang der Bauern in die Provinz beschränkt;;A instancias del alcalde has restringido el acceso de los campesinos a la provincia;;;;;;;;;x
military_jesus;Jesus Gives Military Advice;Jésus prodigue des conseils militaires;Jesus gibt militärischen Rat.;;Jesús da consejo militar;;;;;;;;;x
speaking_in_tounges;Speaking in Tongues;Parler en langues;Zungenreden;;Don de lenguas;;;;;;;;;x
town_appreciate;Townspeople Approve;Les habitants de la cité approuvent;Stadtbevölkerung stimmt zu;;La gente del pueblo lo aprueba;;;;;;;;;x
town_appreciate_desc;The genius of your [GetMyChancellorName] has made the people in the Town appreciate you more;Grâce au génie de votre [GetMyChancellorName], les habitants de la cité vous apprécient davantage;Der Genialität Eures [GetMyChancellorName]s ist es zu danken, dass Euch die Leute in der Stadt nun mehr zu schätzen wissen;;El ingenio de tu [GetMyChancellorName] ha hecho que la gente del pueblo te aprecie más;;;;;;;;;x
castle_appreciate;Castle Denizens Approve;Les habitants du château approuvent;Burgbevölkerung stimmt zu;;La gente del castillo lo aprueba;;;;;;;;;x
castle_appreciate_desc;The genius of your [GetMyChancellorName] has made the people in the Castle appreciate you more;Grâce au génie de votre [GetMyChancellorName], les habitants du château vous apprécient davantage;Der Genialität Eures [GetMyChancellorName]s ist es zu danken, dass Euch die Leute in der Burg nun mehr zu schätzen wissen;;El ingenio de tu [GetMyChancellorName] ha hecho que la gente del castillo te aprecie más;;;;;;;;;x
troops_likes_marshal;Marshal increases Morale;Le maréchal améliore le moral;Marschall erhöht Moral;;Mariscal sube moral;;;;;;;;;x
troops_increases;Marshal recruits Soldiers;Le maréchal recrute des soldats;Marschall rekrutiert Soldaten;;Mariscal recluta soldados;;;;;;;;;x
steward_taxincome;Steward increases Tax Income;l'intendant augmente les revenus fiscaux;Kämmerer erhöht Steuereinnahmen;;Administrador sube impuestos;;;;;;;;;x
steward_revoltrisk;Steward Calms Peasants;l'intendant calme les paysans;Kämmerer beruhigt Bauern;;Administrador calma campesinos;;;;;;;;;x
increase_arrest_chance;Spymaster Increases Arrest Chance;Le maître-espion augmente les chances d'arrestations;Hofspitzel erhöht Verhaftungschance;;Jefe de espías aumenta probabilidad de arresto;;;;;;;;;x
increase_plot_power;Spymaster increases plot power;Le maître-espion augmente la puissance de vos complots;Hofspitzel erhöht Verschwörungsstärke;;El Jefe de Espionaje aumenta el poder de conspiración;;;;;;;;;x
church_appreciates;The Church Approves;Approbation du clergé;Die Kirche stimmt zu;;La Iglesia lo aprueba;;;;;;;;;x
religious_appreciate;The Religious Authorities Approve;Les autorités religieuses manifestent leur approbation ;Die religiösen Autoritäten stimmen zu.;;Las autoridades religiosas lo aprueban;;;;;;;;x
spiritual_increase_piety;Pious Person;Personne pieuse;Fromme Person;;Persona piadosa;;;;;;;;;x
arbitrary_steward;Peasants Complain About the Arbitrary Steward;Les paysans se plaignent de la partialité de l'intendant;Bauern beschweren sich über den willkürlichen Kämmerer;;Los campesinos se quejan de la arbitrariedad del administrador;;;;;;;;;x
just_steward;Justice Prevails;La justice prévaut;Gerechtigkeit siegt;;La justicia prevalece;;;;;;;;;x
intelligent_steward;Economic Innovations;Innovations économiques;Wirtschaftliche Innovationen;;Innovaciones económicas;;;;;;;;;x
intelligent_steward_desc;Steward improves economy.;L'intendant améliore l'économie.;Kämmerer verbessert Wirtschaft;;Mayordomo mejora la economía.;;;;;;;;;x
marshal_highway_robbers;Marshal chased highway robbers away;Le maréchal a chassé les voleurs de grands chemins;Marschall vertrieb Wegelagerer;;Mariscal ahuyenta bandidos;;;;;;;;;x
marshal_improves_capital;Military Innovations;Innovations militaires;Militärische Innovationen;;Innovaciones militares;;;;;;;;;x
marshal_improves_capital_desc;Your Marshal's ideas improve your Capital.;Les idées de votre maréchal améliorent votre capitale.;Die Ideen Eures Marschalls verbessern Eure Hauptstadt;;Las ideas de tu mariscal mejoran tu capital.;;;;;;;;;x
lovers_retreat;Lovers Retreat;Le repli des amoureux;Rückzugsort für Verliebte;;Refugio de los Amantes;;;;;;;;;x
lovers_entertainment;Entertainment from my lover;Divertissement pour mon amoureux;Unterhaltung von [Getmeinemmeiner] Geliebten;;Entretenimiento con mi amante;;;;;;;;;x
holding_large_feast;Holding a Large Feast;Organiser une grande fête;Ein großes Fest geben;;Celebrando un gran banquete;;;;;;;;;x
holding_grand_hunt;Holding Grand Hunt;Organise une grande chasse;Eine Großjagd abhalten;;Celebrando la Gran Caza;;;;;;;;;x
holding_summer_fair;Holding a Summer Fair;Organiser une foire estivale;Ein Sommerfest geben;;Celebrando un Festival de Verano;;;;;;;;;x
love_poem;Love Poem;Poème d'amour;Liebesgedicht;;Poema de amor;;;;;;;;;x
beautiful_flower;Beautiful Flower;Fleur magnifique;Wunderschöne Blume;;Bella flor;;;;;;;;;x
precious_item;Precious Item;Objet précieux;Wertvolles Objekt;;Artículo precioso;;;;;;;;;x
stop_commerce;Stopped Commerce in all Church Squares;Commerce interrompu sur toutes les places d'église;Handel auf allen Kirchplätzen unterbunden;;Comercio interrumpido en todas las plazas de la iglesia;;;;;;;;;x
prima_noctae;Prima Noctae;Prima Noctae;Recht der ersten Nacht;;Derecho de pernada;;;;;;;;;x
peasants_forbidden_sale;Peasants are forbidden to sell goods within City walls;Les paysans n'ont pas le droit de vendre des produits à l'intérieur des murs de la cité.;Bauern ist es verboten, ihre Güter innerhalb von Stadtmauern zu verkaufen;;Los campesinos tienen prohibido vender mercancías dentro de las murallas de la ciudad;;;;;;;;;x
clergy_extra_tithe;The Church collect an extra tithe on free peasants;L'Église perçoit une dîme supplémentaire auprès des paysans libres;Die Kirche sammelt einen zusätzlichen Zehnt von freien Bauern;;La iglesia recolecta un diezmo adicional sobre los campesinos libres;;;;;;;;;x
the_flagellant;The Flagellant;Le flagellant;Die Geißler;;El Flagelante;;;;;;;;;x
the_flagellant_desc;Flagellants mortify their own flesh by whipping it;Les flagellants mortifient leur propre chair en la fouettant;Die Geißler kasteien sich durch Auspeitschen ihres sündigen Fleisches.;;Los flagelantes mortifican su propia carne a latigazos;;;;;;;;;x
deceitful_martial;Appearing Martial;Soi-disant brave;Kriegerisch erscheinend;;Aspecto Marcial;;;;;;;;;x
deceitful_stewardship;Faking Stewardship;Intendance fourbe;Verwaltungsfähigkeit vortäuschend;;Fingir actuar en su beneficio;;;;;;;;;x
deceitful_diplomacy;Appearing Diplomatic;Soi-disant diplomatique;Diplomatisch erscheinend;;Aspecto Diplomático;;;;;;;;;x
deceitful_learning;Faking Learning;Apprentissage fourbe;Das Lernen vortäuschend;;Fingir Aprendizaje;;;;;;;;;x
modifier_outfoxed;Outfoxed by the Merry Men;N'a pas été aussi rusé que les Joyeux Compères;Wurde von den ‚Fröhlichen Strolchen‘ überlistet;;Los Hombres Alegres ganaron con astucia;;;;;;;;;x
met_merry_men;Met the Merry Men;A croisé le chemin des Joyeux Compères;Ist den ‚Fröhlichen Strolchen‘ begegnet;;Encontró a los Hombres Alegres;;;;;;;;;x
flaming_gap;A Flaming Gap;Une faille ardente;Eine flammende Kluft;;Intervalo de cólera;;;;;;;;;x
wailing_gap;A Wailing Gap;Une faille de lamentations;Eine klagende Kluft;;Intervalo de llanto;;;;;;;;;x
gates_hell;Gates of Hell;Portes de l'enfer;Höllenpforte;;Puertas del infierno;;;;;;;;;x
exorcism_gateshell;Closed Gates of Hell;Portes de l'enfer fermées;Geschlossene Höllenpforte;;Puertas del infierno cerradas;;;;;;;;;x
cattle_gateshell;Sacrificed Cattle to Close Gates of Hell;Bétail sacrifié pour fermer les portes de l'enfer;Stieropfer zum Schließen der Höllenpforte;;Ganado sacrificado para cerrar las puertas del infierno;;;;;;;;;x
stones_gateshell;Filled Gates of Hell with Stones;Portes de l'enfer condamnées avec des pierres;Mit Felsbrocken versperrte Höllenpforte;;Puertas del infierno cegadas con piedras;;;;;;;;;x
sacrifice_gateshell;Human Sacrifice Closed Gates of Hell;Sacrifice humain pour fermer les portes de l'enfer;Menschenopfer schloss die Höllenpforte;;Sacrificio humano cerró las puertas del infierno;;;;;;;;;x
friendly_innovations;Friendly Innovations;Amélioration des techniques;Innovationen eines Freundes;;Innovaciones sencillas;;;;;;;;;x
pious_priests;Money-loving priests;Des prêtres amateurs d'argent;Geldgierige Priester;;Sacerdotes amantes del dinero;;;;;;;;;x
greatest_of_khans;Greatest of Khans;Le khan des khans;Der Großkhan;;El más grande de los kanes;;;;;;;;;x
war_taxes;War Taxes;Impôt de guerre;Kriegssteuern;;Impuestos de guerra;;;;;;;;;x
war_taxes_desc;This [GetGirlWomanBoyMan] is levying war taxes on [GetHerHis] subjects.;Ce personnage perçoit des impôts de guerre sur ses sujets.;Dieser Charakter erhebt Kriegssteuern;;Este personaje está cobrando impuestos de guerra a sus súbditos.;;;;;;;;;x
extra_tax_kind;Necessary Extra Tax;Impôt supplémentaire d'urgence;Notwendige Zusatzsteuer;;Impuesto adicional necesario;;;;;;;;;x
