# Vanilla
alcohol_gift_decision;Send Alcohol Gift;Offrir de l'alcool;Alkohol-Geschenk schicken;;Enviar regalo de alcohol;;;;;;;;;x
create_portugal_desc;I can begin a new era in these lands by founding the Kingdom of Portugal.;Je peux marquer le début d'une nouvelle ère sur ces terres en créant le royaume du Portugal.;Ich kann in diesen Landen eine neue Ära beginnen lassen, indem ich das Königreich Portugal gründe.;;Puedo comenzar una nueva era en estas tierras fundando el Reino de Portugal.;;;;;;;;;x
create_russian_empire;Create the Empire of Russia;Créer l'empire de Russie;Reich von Russland gründen;;Crear el Imperio de Rusia;;;;;;;;;x
create_russian_empire_desc;Holding the Empire of Rus is not enough – some are starting to think that 'the Empire of Russia' has a better ring to it...;Détenir l'empire des Rus' ne suffit pas – certains commencent à penser que « l'Empire de Russie » est mieux...;Es reicht nicht aus, das Reich der Rus zu halten. Einige beginnen zu glauben, dass "Russland" einen besseren Klang hat ...;;Mantener el Imperio de la Rus no parece suficiente y algunos empiezan a pensar que "Imperio de Rusia" sonaría mejor…;;;;;;;;;x
destroy_artifact_desc;§Y[From.GetName]§! is §Rdestroyed§! and §Yremoved§! from §Y[This.GetBestName]§!'s §YTreasury§!.;'§Y[From.GetName]§!' est §Rdétruit§! et §Yretiré§! du Trésor [This.Get_only_du_Title]§Y[This.GetBestName]§!.;§Y[From.GetName]§! ist §Rzerstört§! und wird aus der §YSchatzkammer§! von §Y[This.GetBestName]§! §Yentfernt§!;;§Y[From.GetName]§! es §Rdestruido§! y §Yretirado§! del §Ytesoro§! de §Y[This.GetBestName]§!.;;;;;;;;;x
drink_from_fountain_of_youth;Drink from the Fountain of Youth;Boire à la fontaine de jouvence;Vom Jungbrunnen trinken;;Beber de la Fuente de la juventud;;;;;x
drink_from_fountain_of_youth_desc;The life-giving waters of the fountain are said to be able to wash away the effects of aging in anyone who drinks it.;On dit que l'eau source de vie de cette fontaine est capable de dissiper les effets du vieillissement chez ceux qui la boivent.;Das lebensspendende Wasser des Brunnens soll die Auswirkungen des Alterns bei jedem, der es trinkt, wegwaschen können.;;Se dice que las aguas vivificantes de la fuente eliminan los efectos de la edad en todos los que las beben.;;;;;x
empire_of_bulgaria_decision;Form the Empire of [e_bulgaria.GetName];Former l'Empire de [e_bulgaria.GetName];Das Reich von [e_bulgaria.GetName] gründen;;Formar el Imperio de [e_bulgaria.GetName];;;;;x
empire_of_bulgaria_decision_desc;Our realm stretches far beyond the capabilities and strength of normal kingdoms. It is time for our realm to be known as the Empire of [e_bulgaria.GetName].;Notre pays dépasse largement les capacités et la puissance des royaumes normaux. Il est temps de se faire connaitre sous le nom d’Empire de [e_bulgaria.GetName].;Unser Reich ist fähiger und stärke als jedes andere normale Königreich. Es ist Zeit, dass unser Reich als das Reich von [e_bulgaria.GetName] bekannt wird.;;Nuestros dominios se extienden más allá de las capacidades y la fuerza de los reinos normales. Es hora de que nuestro reino será conocido como el Imperio de [e_bulgaria.GetName].;;;;;x
employ_priest;Invite Holy Man to Court;Inviter un saint homme à la Cour;Heiligen Mann an den Hof einladen;;Invitar a un santo a la corte;;;;;;;;;x
employ_priest_desc;Scour the land for a holy man to join my court and advise me on religious matters.;Rechercher un saint homme qui rejoindrait votre Cour pour vous conseiller sur les affaires religieuses.;Durchsucht das Land nach einem heiligen Mann, der sich meinem Hofstaat anschließt und mich in religiösen Dingen berät.;;Recorre la tierra buscando un santo que se una a mi corte y me aconseje temas religiosos.;;;;;;;;;x
employ_soldier;Promote Commander;Promouvoir un commandant;Befehlshaber befördern;;Ascender comandante;;;;;;;;;x
employ_soldier_desc;Promote a soldier from the ranks of your army to lead the troops on the battlefield.;Promouvoir un soldat de votre armée qui dirigera les troupes sur le champ de bataille.;Befördert einen Soldaten aus der Armee zum Kommandanten, der die Truppen in der Schlacht anführt.;;Ascender a un soldado de las filas de tu ejército para que lidere a las tropas en el campo de batalla.;;;;;;;;;x
employ_steward;Invite Noble to Court;Inviter un noble à la Cour;Adligen an den Hof einladen;;Invitar a un noble a la corte;;;;;;;;;x
employ_steward_desc;Invite a promising nobleman to court, to aid with matters of administration.;Invitez un noble talentueux à la Cour pour vous aider sur les questions administratives.;Ladet einen verheißungsvollen Adligen an den Hof ein, um bei Verwaltungsfragen zu helfen.;;Invita a un noble prometedor a la corte que ayude en asuntos administrativos.;;;;;;;;;x
establishing_habsburg;Establish Castle Habsburg;Établir le château des Habsbourg;Schloss Habsburg errichten;;Levantar el castillo de Habsburgo;;;;;x
establishing_habsburg_desc;We know just the location where we could raise a new castle, in the province of [c_basel.GetName]. It will be the pride of our family, and we will name ourselves after it and be known as the von Habsburg dynasty.;Nous savons exactement où nous pourrions bâtir un nouveau château dans la province de [c_basel.GetName]. Ce sera la fierté de notre famille et nous serons connus sous le nom de la dynastie von Habsburg.;Wir kennen genau den richtigen Ort für eine neue Burg in der Provinz [c_basel.GetTitle.GetName]. Diese wird der Stolz unserer Familie sein und wir werden uns nach ihr benennen und als die Dynastie "von Habsburg" bekannt sein.;;Sabemos dónde podríamos construir un nuevo castillo, en la provincia de [c_basel.GetName]. Será el orgullo de nuestra familia, adoptaremos su nombre y se nos conocerá como la dinastía Habsburgo.;;;;;x
faction_antiking_ultimatum;Demand the Throne;Demander le trône;Den Thron fordern;;Demand the Throne;;;;;;;;;x
faction_antiking_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding the throne, the overthrow of antipopes and the institution of Papal Investiture. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;Présenter un ultimatum [Root.Liege.Get_only_au_Title]§Y[Root.Liege.GetBestName]§! demandant le trône. [Root.Liege.GetSilSielleCap] accepte, cela renversera également les antipapes et établira une investiture pontificale des évêques.\n[Root.Liege.GetSilSielleCap] refuse de s'y soumettre, notre faction se soulèvera.;Ein Ultimatum an §Y[Root.Liege.GetBestName]§! stellen, in dem wir den Thron, die Absetzung des Gegenpapstes und die Einführung der päpstlichen Investitur verlangen. Sollte [Root.Liege.GetSubjectPronoun] dies ablehnen, wird Eure Fraktion einen Aufstand anzetteln.;;Presentar un ultimatum a §Y[Root.Liege.GetBestName]§!, demandándole el trono, la deposición del Antipapa y la institución de la Investidura Pontificia. Si rechaza aceptar estos términos, tu facción se levantará contra [Root.Liege.GetSubjectPronoun];;;;;;;;;x
faction_claimant_ultimatum;Demand Installation of Claimant;Demander l'intronisation [Root.SupportedClaimant.GetDuDela] prétendant[Root.SupportedClaimant.Get_E];Einsetzung eines Anspruchstellers fordern;;Reclamar la instalación del demandante;;;;;;;;;x
faction_claimant_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding the installation of §Y[Root.SupportedClaimant.GetBestName]§! on the throne of §Y[Root.SupportedClaimantTitle.GetName]§!. If [Root.Liege.GetSubjectPronoun] refuses to comply, the Faction will rise in revolt.;Présentez un ultimatum [Root.Liege.Get_only_au_Title]§Y[Root.Liege.GetBestName]§! pour exiger l'intronisation [Root.SupportedClaimant.Get_only_du_Title]§Y[Root.SupportedClaimant.GetBestName]§! sur le trône [Root.SupportedClaimantTitle.Get_only_du_Realm]§Y[Root.SupportedClaimantTitle.GetName]§!. [Root.Liege.GetSilSielleCap] refuse votre requête, votre faction prendra alors les armes.;Stellt §Y[Root.Liege.GetBestName]§! ein Ultimatum und fordert die Einsetzung von §Y[Root.SupportedClaimant.GetBestName]§! auf dem Thron von §Y[Root.SupportedClaimantTitle.GetName]§!. Sollte [Root.Liege.GetSubjectPronoun] dies ablehnen, wird Eure Fraktion einen Aufstand anzetteln.;;Enviar un ultimátum a §Y[Root.Liege.GetBestName]§!, reclamando que se instale a §Y[Root.SupportedClaimant.GetBestName]§! en el trono de §Y[Root.SupportedClaimantTitle.GetName]§!. Si [Root.Liege.GetSubjectPronoun] se niega a concederla, tu Facción se suble;;;;;;;;;x
faction_increase_council_power_ultimatum;Demand Increased Council Power;Demander le pouvoir accru du Conseil;Erhöhung der Macht des Rates verlangen;;Exigir un aumento de poder del Consejo.;;;;;;;;;x
faction_increase_council_power_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding increased power for the Council. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;Présenter un ultimatum [Root.Liege.Get_only_au_Title]§Y[Root.Liege.GetBestName]§! pour exiger une augmentation de l'autorité du Conseil. [Root.Liege.GetSilSielleCap] refuse votre requête, votre faction prendra alors les armes.;Stellt §Y[Root.Liege.GetBestName]§! ein Ultimatum und fordert mehr Macht für den Rat. Sollte [Root.Liege.GetSubjectPronoun] dies ablehnen, wird Eure Fraktion einen Aufstand anzetteln.;;Presentar un ultimátum a §Y[Root.Liege.GetBestName]§!, exigiendo mayor poder para el Consejo. Si [Root.Liege.GetSubjectPronoun] se niega a cumplir, tu facción se levantará en rebelión.;;;;;;;;;x
faction_independence_ultimatum;Demand Independence;Demander l'indépendance;Unabhängigkeit fordern;;Reclamar la independencia;;;;;;;;;x
faction_independence_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding independence for you and the other members of the Independence Faction. If [Root.Liege.GetSubjectPronoun] refuses to comply, the Faction will rise in revolt.;Présentez un ultimatum [Root.Liege.Get_only_au_Title]§Y[Root.Liege.GetBestName]§! pour exiger votre indépendance ainsi que celle des membres de la faction d'indépendance. [Root.Liege.GetSilSielleCap] refuse votre requête, votre faction prendra alors les armes.;Stellt §Y[Root.Liege.GetBestName]§! ein Ultimatum und fordert Unabhängigkeit. Wenn [Root.Liege.GetSubjectPronoun] dies ablehnt, wird Eure Fraktion in einen Aufstand geraten.;;Enviar un ultimátum a §Y[Root.Liege.GetBestName]§!, reclamando la independencia para ti y los demás miembros de la Facción Independencia. Si [Root.Liege.GetSubjectPronoun] se niega a concederla, tu Facción se sublevará.;;;;;;;;;x
faction_lower_crown_authority_ultimatum;Demand Lower Crown Authority;Demander la diminution de l'autorité de la Couronne;Reduzierte Kronautorität fordern;;Reclamar la reducción de la autoridad de la Corona;;;;;;;;;x
faction_lower_crown_authority_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding lower Crown Authority. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;Présentez un ultimatum [Root.Liege.Get_only_au_Title]§Y[Root.Liege.GetBestName]§! pour exiger une diminution de l'Autorité de la Couronne. [Root.Liege.GetSilSielleCap] refuse votre requête, votre faction prendra alors les armes.;Stellt §Y[Root.Liege.GetBestName]§! ein Ultimatum und fordert eine reduzierte Kronautorität. Sollte [Root.Liege.GetSubjectPronoun] dies ablehnen, wird Eure Fraktion einen Aufstand anzetteln.;;Enviar un ultimátum a §Y[Root.Liege.GetBestName]§!, reclamando la reducción de la autoridad de la Corona. Si [Root.Liege.GetSubjectPronoun] se niega a concederla, tu Facción se sublevará.;;;;;;;;;x
faction_lower_tribal_organization_ultimatum;Demand Lower Tribal Organization;Demander la réduction de l'organisation tribale;Fordern Sie die Verringerung der Stammesorganisation;;Exigir Bajar Organización Tribal;;;;;;;;;x
faction_lower_tribal_organization_ultimatum_desc;Present an ultimatum to §Y[Root.Liege.GetBestName]§!, demanding lower Tribal Organization. If [Root.Liege.GetSubjectPronoun] refuses to comply, your Faction will rise in revolt.;Présentez un ultimatum [Root.Liege.Get_only_au_Title]§Y[Root.Liege.GetBestName]§!, exigeant la réduction de l'organisation tribale. [Root.Liege.GetSilSielleCap] refuse d'obtempérer, votre faction se révoltera.;Stellen Sie §Y[Root.Liege.GetBestName]§! ein Ultimatum zur Verringerung der Stammesorganisation. Wenn [Root.Liege.GetSubjectPronoun] nicht einwilligt, startet Ihre Fraktion einen Aufstand.;;Dar un ultimátum a §Y[Root.Liege.GetBestName]§!, exigiéndole que baje la Organización Tribal. Si [Root.Liege.GetSubjectPronoun] se niega a hacerlo, tu Facción se alzará en rebelión.;;;;;;;;;x
