abrahamic_antihellenic_revolt;Hellenic Civil War;Guerre civile hellénique;Hellenistischer Bürgerkrieg;;Guerra civil helénica;;;;;;;;x
abrahamic_antihellenic_revolt_desc;The decision to reinstate a dead, heathen cult in place of the worship of the Abrahamic god has dragged the newly-reformed Empire into civil war.;La décision de rétablir un ancien culte païen à la place de celui du dieu abrahamique a entraîné l'Empire nouvellement réformé dans la guerre civile.;Die Entscheidung einen toten, heidnischen Kult anstelle des abrahamischen Gottes wiedereinzusetzen, hat das kürzlich reformierte Reich in einen Bürgerkrieg gezogen.;;La decisión de restaurar un culto muerto y pagano en lugar de adorar al dios abrahámico ha molestado a muchos vasallos por todo el Imperio.;;;;;;;;x
WAR_NAME_RECONQUISTA_GRANADA;$ORDER$Reconquest War for Southern Iberia;$ORDER$Guerre de reconquête pour l'Ibérie du sud;$ORDER$er Rückeroberungskrieg von Südiberien;;$ORDER$Guerra de Reconquista del Sur de la Península;;;;;x
WAR_NAME_RECONQUISTA_LEON;$ORDER$Reconquest War for Leon;$ORDER$Guerre de reconquête pour León;$ORDER$er Rückeroberungskrieg von Leon;;$ORDER$Guerra de Reconquista de León;;;;;x
WAR_NAME_RECONQUISTA_NAVARRA;$ORDER$Reconquest War for Navarra;$ORDER$Guerre de reconquête pour Navarre;$ORDER$er Rückeroberungskrieg von Navarra;;$ORDER$Guerra de Reconquista de Navarra;;;;;x
WAR_NAME_RECONQUISTA_VALENCIA;$ORDER$Reconquest War for the Eastern Coast;$ORDER$Guerre de reconquête pour la côte est;$ORDER$er Rückeroberungskrieg der Ostküste ;;$ORDER$Guerra de Reconquista del Este de la Península;;;;;x
WAR_NAME_RELIGIOUS;$ORDER$$FIRST_ADJ$ Holy War for $OTHER_TITLE$;$ORDER$Guerre sainte $FIRST_ADJ$ pour $OTHER_TITLE$;$ORDER$$FIRST_ADJ$er Heiliger Krieg um $OTHER_TITLE$;;$ORDER$ Guerra Santa $FIRST_ADJ$ por $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_RIVALRY;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Rivalry War;$ORDER$Guerre de rivalité entre $FIRST$ et $SECOND$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$er Rivalenkrieg;;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Guerra de rivalidad;;;;;;;;;x
WAR_NAME_SEIZE_TRADE_POST;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Trade War over $OTHER_TITLE$;$ORDER$Guerre commerciale entre $FIRST$ et $SECOND$ pour le comptoir de $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$s Handelskrieg über $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ guerra comercial contra $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_SENIORITY_SUCCESSION_LAW;$ORDER$$SECOND_ADJ$ Civil War for Seniority;$ORDER$Guerre civile $SECOND_ADJ$ pour instaurer la succession par §Yancienneté§!;$ORDER$$SECOND_ADJ$e Rebellion zur Einführung des Senioratsprinzips;;$ORDER$ Guerra Civil $SECOND_ADJ$ por la Ley de Primogenitura;;;;;;;;;x
WAR_NAME_SEX_DEPOSITION;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ War to Depose $DEFENDER$;$ORDER$Guerre $FIRST_ADJ$-$SECOND_ADJ$ pour déposer $DEFENDER$.;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$er Krieg zur Absetzung von $DEFENDER$;;$ORDER$Guerra $FIRST_ADJ$-$SECOND_ADJ$ para destronar a $DEFENDER$;;;;;;;;x
WAR_NAME_SHATTERED_COUNTY_CONQUEST;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Consolidation of $OTHER_TITLE$;$ORDER$Intégration de $OTHER_TITLE$ par $FIRST$ contre $SECOND$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$e Konsolidierung von $OTHER_TITLE$;;$ORDER$ integración $FIRST_ADJ$-$SECOND_ADJ$ de $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_SHEPHERDS_CRUSADE;$ORDER$ Shepherds' Crusade for [Title.GetBaseName];$ORDER$Croisade des pastoureaux pour [Title.GetBaseName];$ORDER$ Kreuzzug der Hirten um [Title.GetBaseName];;$ORDER$ cruzada de los pastores por [Title.GetBaseName];;;;;x
WAR_NAME_SHIA_CALIPHATE_RISING;$ORDER$Shi'a Caliphate Rising in [Title.GetBaseName];$ORDER$Guerre d'instauration du califat chiite en [Title.GetBaseName];$ORDER$Aufstieg des Shi'a-Kalifats in [Title.GetBaseName];;$ORDER$Califato Chií subiendo en [Title.GetBaseName];;;;;;;;;x
WAR_NAME_SUCCESSION;$ORDER$$SECOND_ADJ$ Succession Crisis;$ORDER$Guerre de succession $SECOND_ADJ$;$ORDER$$SECOND_ADJ$er Erbfolgekrieg;;$ORDER$ Guerra de Sucesión $SECOND_ADJ$;;;;;;;;;x
WAR_NAME_THANKMARS_REBELLION;Thankmar's Rebellion;Rébellion de Thankmar;Thankmars Aufstand;;La rebelión de Thankmar;;;;;x
WAR_NAME_TRIBAL_INDEPENDENCE;$ORDER$War against the Great $SECOND_ADJ$ Conversion;$ORDER$Guerre contre la grande conversion $SECOND_ADJ$;$ORDER$Krieg gegen die $SECOND_ADJ$e Massenkonvertierung;;$ORDER$Guerra contra la gran conversión $SECOND_ADJ$;;;;;;;;;x
WAR_NAME_TRIBUTARY;$ORDER$$FIRST_ADJ$ War to Make $DEFENDER$ Pay Tribute;$ORDER$Guerre $FIRST_ADJ$ pour faire payer un tribut à $DEFENDER$;$ORDER$$FIRST_ADJ$er Krieg zur tributpflichtigen Unterwerfung von $DEFENDER$;;$ORDER$$FIRST_ADJ$ guerra para hacer de $DEFENDER$ un tributario;;;;;;;;;x
WAR_NAME_UNJUST_COUNTY_CONQUEST;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Border Dispute over $OTHER_TITLE$;$ORDER$Dispute frontalière $FIRST_ADJ$ pour $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$er Grenzdisput um $OTHER_TITLE$;;Disputa fronteriza $ORDER$$FIRST_ADJ$-$SECOND_ADJ$ por $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_VIKING_INVASION;$ORDER$$FIRST_ADJ$ Prepared Invasion of $OTHER_TITLE$;$ORDER$Invasion planifiée de $OTHER_TITLE$ par $FIRST$;$ORDER$$FIRST_ADJ$e Invasion von $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$ Invasión Preparada de $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_WEAKEN_VASSAL;War for a New Ruler of $OTHER_TITLE$.;Guerre pour un nouveau seigneur de $OTHER_TITLE$.;Krieg um einen neuen Lehnsherren für $OTHER_TITLE$;;Guerra para instalar un nuevo gobernante en $OTHER_TITLE$.;;;;;;;;;x
