# Historical
alexander_bloodline_01;Immortal Blood of Alexander;Sang immortel d'Alexandre;Unsterbliches Blut von Alexander;;Sangre inmortal de Alejandro;;;;;;;;;x
lcr_female;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;x
lcr_female_desc;[This.Founder.GetTitledFirstName] managed to unite the formerly disparate East and West Slavic people under [This.Founder.GetHerHis] rule.;[This.Founder.Get_Le_TitledFirstName] a réussi à unifier les Slaves occidentaux et orientaux sous son autorité.;[This.Founder.GetTitledFirstName] schaffte es die vormalig getrennten Ost- und Westslawischen Völker unter [This.Founder.GetHerHis]er Herrschaft zu vereinen.;;[This.Founder.GetTitledFirstName] consiguió unir a los pueblos eslavos oriental y occidental, antes separados, bajo su gobierno.;;;;;;;;;x
lcr_male;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;x
lcr_male_desc;[This.Founder.GetTitledFirstName] managed to unite the formerly disparate East and West Slavic people under [This.Founder.GetHerHis] rule.;[This.Founder.Get_Le_TitledFirstName] a réussi à unifier les Slaves occidentaux et orientaux sous son autorité.;[This.Founder.GetTitledFirstName] schaffte es die vormalig getrennten Ost- und Westslawischen Völker unter [This.Founder.GetHerHis]er Herrschaft zu vereinen.;;[This.Founder.GetTitledFirstName] consiguió unir a los pueblos eslavos oriental y occidental, antes separados, bajo su gobierno.;;;;;;;;;x
lord_of_outremer;Blood of [This.GetTitledFirstName];Sang [This.Get_du_TitledFirstName];Blut von [This.GetTitledFirstName];;Sangre de [This.GetTitledFirstName];;;;;x
lord_of_outremer_desc;[This.GetSheHeCap] is legendary among the Christians for conquering the Arabian peninsula and destroying the Muslim faiths.;[This.GetIlElleCap] est devenu[This.Get_E] une légende pour les chrétiens pour avoir conquis la péninsule arabique et détruit les fois musulmanes.;[This.GetTitledFirstName] ist unter den Christen für die Eroberung der arabischen Halbinsel und der Vernichtung muslimischer Glaubensrichtungen bekannt.;;Es una leyenda entre los cristianos por conquistar la Península arábiga y destruir los credos musulmanes.;;;;;x
northern_crusade_bloodline;Teutonic Blood of [Root.GetFirstName];Sang teutonique de [Root.GetFirstName];Germanisches Blut von [Root.GetFirstName];;Sangre teutónica de [Root.GetFirstName];;;;;x
northern_crusade_bloodline_desc;After helping the Teutons in conquering the north, [Root.GetHerHis] dynasty is considered a close ally of the Teutons.;Après avoir aidé les Teutons à conquérir le nord, sa dynastie est considérée comme leur alliée.;Nachdem sie den Germanen bei der Eroberung des Nordens geholfen haben, gilt [Root.GetHerHis]e Dynastie als enger Verbündeter der Germanen;;Tras ayudar a los teutónicos a conquistar el norte, su dinastía es considerada un aliado cercano de estos.;;;;;x
pure_architect_bloodline_01;Blood of [This.GetTitledFirstName];Sang [This.Get_du_TitledFirstName];Blut von [This.GetTitledFirstName];;Sangre de [This.GetTitledFirstName];;;;;;;;x
pure_architect_bloodline_01_desc;[This.GetFirstName] is remembered by many as a patron of the crafts for sponsoring the construction of several cities throughout [This.PrimaryTitle.GetName].;[This.GetFirstName] est connu[This.Get_E] comme patron de l'artisanat à travers le financement de la construction de plusieurs villes [This.PrimaryTitle.Get_en_Realm].;[This.GetFirstName] wird von vielen als Förderer der Handwerke und Konstruktion mehrerer Städte in [This.PrimaryTitle.GetName] in Erinnerung bleiben.;;Se recordará a [This.GetFirstName] como mecenas de las artes por patrocinar la construcción de numerosas ciudades a lo largo de [This.PrimaryTitle.GetName].;;;;;;;;x
pure_castellan_bloodline_01;Blood of [This.GetTitledFirstName];Sang [This.Get_du_TitledFirstName];Blut von [This.GetTitledFirstName];;Sangre de [This.GetTitledFirstName];;;;;;;;x
pure_castellan_bloodline_01_desc;[This.GetFirstName] is remembered by many as a patron of engineering for sponsoring the construction of several castles throughout [This.PrimaryTitle.GetName].;Beaucoup de personnes se souviennent de [This.GetFirstName] comme d'un mécène de l'ingénierie pour avoir financé la construction de plusieurs châteaux [This.PrimaryTitle.Get_en_Realm].;[This.GetFirstName] wird von vielen als Förderer der Ingenieurskunst und Konstruktion mehrerer Burgen und Festungen in [This.PrimaryTitle.GetName] in Erinnerung bleiben.;;Muchos recuerdan a [This.GetFirstName] como mecenas de la ingeniería por patrocinar la construcción de numerosos castillos y fortificaciones a lo largo de [This.PrimaryTitle.GetName].;;;;;;;;x
pure_monumental_bloodline_01;Blood of [This.GetTitledFirstName];Sang [This.Get_du_TitledFirstName];Blut von [This.GetTitledFirstName];;Sangre de [This.GetTitledFirstName];;;;;;;;x
pure_monumental_bloodline_01_desc;[This.GetFirstName] is remembered by many as a patron of engineering and a devout [This.Religion.GetName] for sponsoring the construction of several temples in [This.GetHerHis] realm.;[This.GetFirstName] est connu[This.Get_E] comme patron de l'ingénierie et un[This.Get_E] [This.GetReligionMascFem] fervent[This.Get_E] pour avoir financé la construction de plusieurs temples dans son pays.;[This.GetFirstName] wird von vielen als Förderer der Ingenieurskunst und frommer [This.Religion.GetName]er Anhänger für die Konstruktion mehrerer Tempel und Kathedralen in [This.PrimaryTitle.GetName] in Erinnerung bleiben.;;Muchos recuerdan a [This.GetFirstName] como mecenas de la ingeniería y [This.Religion.GetName] devot[This.GetOA] al patrocinar la construcción de numerosos templos y catedrales por todo [This.PrimaryTitle.GetName].;;;;;;;;x
pure_murder_bloodline_01;Vile Blood of [This.GetTitledFirstName];Sang vil [This.Get_du_TitledFirstName];Schandblut von [This.GetTitledFirstName];;Sangre vil de [This.GetTitledFirstName];;;;;;;;x
pure_murder_bloodline_01_desc;Since [This.GetHerHis] early childhood, [This.GetFirstName] showed an unnatural inclination for murder, which earned [This.GetHerHim] a terrible reputation amongst the brutalized members of [Root.GetHerHis] court.;Depuis la petite enfance, [This.GetFirstName] a montré une inclination contre nature pour le meurtre, ce qui lui a valu une réputation terrible auprès des membres brutalisés de sa cour.;Seit [This.GetHerHis]er frühen Kindheit zeigte [This.GetFirstName] eine unnatürliche Neigung zum Mord, die [This.GetHerHim] einen schrecklichen Ruf am Hof gebracht hat.;;[This.GetFirstName] mostró desde su más tierna infancia una inclinación antinatural por el asesinato, ganándole una reputación terrible entre los insensibilizados miembros de su corte.;;;;;;;;x
pure_murder_bloodline_02;Vile Blood of [This.GetTitledFirstName];Sang vil [This.Get_du_TitledFirstName];Schandblut von [This.GetTitledFirstName];;Sangre vil de [This.GetTitledFirstName];;;;;;;;x
pure_murder_bloodline_02_desc;The corpses of [This.GetTitledFirstName]'s enemies, embalmed by vile alchemy, still adorn [This.GetHerHis] court, an immortal testament to [This.GetHerHis] cruelty.;Les cadavres des ennemis [This.Get_du_TitledFirstName], embaumés par une infâme alchimie, ornent toujours sa cour, une preuve inoubliable de sa cruauté.;Die Leichen der Gegner von [This.GetTitledFirstName], die mit schandhafter Alchemie einbalsamiert sind, schmücken noch immer [This.GetHerHis]en Hof und bieten ein unsterbliches Testament [This.GetHerHis]er Grausamkeit.;;Los cadáveres de los enemigos de [This.GetFirstName], embalsamados con una cruel alquimia siguen decorando su corte, un testamento inmortal de su crueldad.;;;;;;;;x
pure_murder_bloodline_03;Sly Blood of [This.GetTitledFirstName];Sang sournois [This.Get_du_TitledFirstName];Listiges Blut von [This.GetTitledFirstName];;Sangre taimada de [This.GetTitledFirstName];;;;;;;;x
pure_murder_bloodline_03_desc;A cold and relentless murderer, [This.GetFirstName] has become notorious across [This.GetHerHis] realm for making people disappear without trace.;Un[This.Get_E] tueu[This.GetRSe] froid[This.Get_E] et implacable, [This.GetFirstName] a la réputation dans son pays de faire disparaître les gens sans laisser de trace.;[This.GetFirstName] ist als kalter und unbarmherziger Mörder berüchtigt und lässt Menschen spurlos verschwinden.;;Asesin[This.GetOA] frí[This.GetOA] e implacable, [This.GetFirstName] se ha hecho célebre en su reino por hacer que la gente desaparezca sin dejar rastro.;;;;;;;;x
pure_murder_bloodline_04;Vile Blood of [This.GetTitledFirstName];Sang vil [This.Get_du_TitledFirstName];Schandblut von [This.GetTitledFirstName];;Sangre vil de [This.GetTitledFirstName];;;;;;;;x
pure_murder_bloodline_04_desc;[This.GetTitledFirstName] has acquired a vicious reputation as a sadistic murder, always looking for the next victim to torment.;[This.Get_Le_TitledFirstName] a acquis une réputation de meurtrier sadique toujours à la recherche de sa prochaine victime.;[This.GetTitledFirstName] hat sich einen niederträchtigen Ruf als sadistischer Mörder gemacht, der immer auf der Suche nach dem nächsten Opfer ist, das er quälen kann.;;[This.GetFirstName] se ha ganado una reputación atroz como asesin[This.GetOA] sádic[This.GetOA], siempre buscando víctimas que atormentar.;;;;;;;;x
pure_murder_bloodline_05;Blood of the Dragon-[This.GetTitle];Sang [This.Get_only_du_Title][This.GetTitle]-Drago[This.GetNNne];Blut [This.Getdesder] Drachen-[This.GetTitle][This.GetsMale];;Sangre [This.GetDelDela] [This.GetTitle] dragón;;;;;;;;;x
pure_murder_bloodline_05_desc;The members of this ruthless and infamous dynasty claim to be descendants of the Dragon-[This.GetTitle] [This.GetFirstName], notoriously famous for burning [This.GetHerHis] enemies to cinder.;Les membres de cette dynastie impitoyable et infâme affirment être les descendants [This.Get_only_du_Title][This.GetTitle]-Drago[This.GetNNne] [This.GetFirstName], célèbre pour avoir réduit en cendres ses ennemis.;Die Mitglieder dieser skrupellosen und berüchtigten Dynastie behaupten Nachkommen des Drachen zu sein, der dafür berüchtigt ist seine Feinde zu Asche zu verbrennen.;;Los miembros esta dinastía infame y despiadada afirman ser descendientes [This.GetDelDela] [This.GetTitle] dragón [This.GetFirstName], tristemente famoso por convertir a sus enemigos en cenizas.;;;;;;;;;x
pure_peace_bloodline_01;Blessed Blood of [This.GetTitledFirstName];Sang béni [This.Get_du_TitledFirstName];Heiliges Blut von [This.GetTitledFirstName];;Sangre bendita de [This.GetTitledFirstName];;;;;;;;x
pure_peace_bloodline_01_desc;Ascended to the throne when [This.GetSheHe] was merely a child, [This.GetFirstName] proved to be wise far beyond [This.GetHerHis] years, ushering a new age of prosperity for [This.GetHerHis] realm.;Monté[This.Get_E] sur le trône quand [This.GetIlElle] n'était qu'un[This.Get_E] enfant, [This.GetFirstName] s'est avéré[This.Get_E] être sage malgré son âge en inaugurant un nouvel âge de prospérité pour son pays.;[This.GetFirstName] bestieg den Thron, als [This.GetSheHe] noch ein Kind war und erwies sich weiser als es [This.GetHerHis] Alter zu vermuten lassen würde. [This.GetSheHeCap] leitete ein neues Zeitalter des Wohlstands für [This.GetHerHis] Reich ein.;;[This.GetFirstName] subió al trono cuando solo era un[This.GetXA] niñ[This.GetOA], pero ha demostrado ser más inteligente de lo que indicaba su edad, dirigiendo a su reino a una nueva era de prosperidad.;;;;;;;;x
pure_peace_bloodline_02;Blessed Blood of [This.GetTitledFirstName];Sang béni [This.Get_du_TitledFirstName];Heiliges Blut von [This.GetTitledFirstName];;Sangre bendita de [This.GetTitledFirstName];;;;;;;;x
pure_peace_bloodline_02_desc;Hailed as the [This.GetFatherMother] of the realm, [This.GetFirstName] has been celebrated as a peacemaker and a consummate diplomat.;Acclamé[This.Get_E] comme [This.GetLeLa] [This.GetFatherMother] du pays, [This.GetFirstName] a été célébré[This.Get_E] en tant qu'artisan de la paix et diplomate accompli[This.Get_E].;Als [This.GetFatherMother] des Reiches gefeiert, wurde als Friedensstifter und Diplomat bekannt.;;Aclamad[This.GetOA] como [This.GetFatherMother] del reino, [This.GetFirstName] es famos[This.GetOA] como pacificador[This.GetXA] y diplomátic[This.GetOA] consumad[This.GetOA].;;;;;;;;x
pure_peace_bloodline_03;Blood of [This.GetTitledFirstName];Sang [This.Get_du_TitledFirstName];Blut von [This.GetTitledFirstName];;Sangre de [This.GetTitledFirstName];;;;;;;;x
pure_peace_bloodline_03_desc;[This.GetFirstName] is remembered for ushering in a new age of peace and prosperity for [This.GetHerHis] realm.;[This.GetFirstName] est connu[This.Get_E] pour avoir inauguré une nouvelle ère de paix et de prospérité pour son pays.;[This.GetFirstName] wird dafür erinnert, dass [This.GetSheHe] ein neues Zeitalter des Friedens und Wohlstands für [This.GetHerHis] Reich eingeleitet hat.;;Se recordará a [This.GetFirstName] por conducir a su reino a una nueva edad de paz y prosperidad.;;;;;;;;x
pure_war_bloodline_01;Valiant Blood of [This.GetTitledFirstName];Sang vaillant [This.Get_du_TitledFirstName];Heroenblut von [This.GetTitledFirstName];;Sangre valiente de [This.GetTitledFirstName];;;;;;;;x
pure_war_bloodline_01_desc;Having won several wars before even reaching adulthood, [This.GetFirstName] has proven to be one of the greatest strategists of [Root.GetHerHis] age.;Ayant gagné plusieurs guerres avant même d'avoir atteint l'âge adulte, [This.GetFirstName] s'est avéré[This.Get_E] être l'un des plus grands stratèges de son âge.;[This.GetFirstName] hat bereits in [Root.GetHerHis]er Kindheit mehrere Kriege gewonnen und sich als einer der größten Strategen des Zeitalters bewiesen.;;Tras ganar varias guerras antes de llegar a la edad adulta, [This.GetFirstName] ha demostrado ser un[This.GetOA] de l[This.GetOA] s mejores estrategas de su tiempo.;;;;;;;;x
pure_war_bloodline_02;Valiant Blood of [This.GetTitledFirstName];Sang vaillant [This.Get_du_TitledFirstName];Heroenblut von [This.GetTitledFirstName];;Sangre valiente de [This.GetTitledFirstName];;;;;;;;x
pure_war_bloodline_02_desc;Hailed as the paragon of knighthood, [This.GetFirstName] has been celebrated in countless songs as a pinnacle of valor and gallantry triumphing over wickedness.;Acclamé[This.Get_E] comme le parangon de la chevalerie, [This.GetFirstName] a été célébré[This.Get_E] dans d'innombrables chansons pour sa bravoure et sa galanterie qui triomphent du vice.;Als Vorbild des Rittertums gefiert wurde [This.GetFirstName] in unzähligen Liedern als Gipfel der Tapferkeit und des Edelmuts, das über die Bosheit triumphiert, gefeiert.;;Aclamad[This.GetOA] como un ejemplo de caballerosidad, [This.GetFirstName] ha sido festejad[This.GetOA] en innumerables canciones como pináculo de valor y gallaría sobre la maldad.;;;;;;;;x
pure_war_bloodline_03;Blood of [This.GetTitledFirstName];Sang [This.Get_du_TitledFirstName];Blut von [This.GetTitledFirstName];;Sangre de [This.GetTitledFirstName];;;;;;;;x
pure_war_bloodline_03_desc;A master of the battlefield, [This.GetFirstName] has become infamous as a ruthless conqueror and implacable warrior with an unparalleled strategic genius.;Maître du champ de bataille, [This.GetFirstName] est devenu[This.Get_E] tristement célèbre comme conquérant[This.Get_E] impitoyable et guerri[This.GetErEre] implacable ayant un génie stratégique sans pareil.;Als Meister des Schlachtfelds wurde [This.GetFirstName] als rücksichtsloser Eroberer und unerbittlicher Krieger mit beispiellosen strategischen Genie berüchtigt.;;Maestr[This.GetOA] del campo de batalla, [This.GetFirstName] se ha hecho célebre como conquistador[This.GetXA] despiadad[This.GetOA] y guerrer[This.GetOA] implacable con un genio estratégico sin rival.;;;;;;;;x
pure_war_bloodline_04;Blood of [This.GetTitledFirstName];Sang [This.Get_du_TitledFirstName];Blut von [This.GetTitledFirstName];;Sangre de [This.GetTitledFirstName];;;;;;;;x
pure_war_bloodline_04_desc;The archetypal warrior-philosopher, [This.GetFirstName] has become legendary for coupling the fierceness of a fighter with the mind of a scholar.;L'archétype du guerrier-philosophe, [This.GetFirstName] est devenu[This.Get_E] légendaire pour avoir combiné la férocité d'un combattant et l'esprit d'un érudit.;[This.GetFirstName] ist ein archetypischer Krieger-Philosoph, [This.Getderdie] dafür legendär geworden ist die Wildheit eines Kämpfers mit dem Geist eines Gelehrten zu verbinden.;;Arquetipo de guerrero-filósofo, [This.GetFirstName] se ha vuelto legendari[This.GetOA] por asociar la ferocidad de un[This.GetXA] luchador[This.GetXA] con la mente de un[This.GetXA] erudit[This.GetOA].;;;;;;;;x
random_world_bloodline_female_1;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
random_world_bloodline_female_2;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
random_world_bloodline_female_3;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
random_world_bloodline_male_1;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
random_world_bloodline_male_2;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
random_world_bloodline_male_3;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;x
random_world_mythological_blood;Blood of a Dragon;Sang de Dragon;Blut eines Drachen;;Sangre de dragón;;;;;;;;;x
random_world_mythological_blood_1;Blood of a [GetRandomMythologicalCreature];Sang [GetRandomMythologicalCreatureVariante];Blut [GetRandomMythologicalCreature];;Sangre de [GetRandomMythologicalCreature];;;;;;;;;x
random_world_mythological_blood_desc;The vial kept in this sturdy box supposedly contains the blood of some ancient beast. Even simply being near it is meant to have regenerative powers.;La fiole conservée dans cette boîte solide est censée contenir le sang d'une bête antique. Même être simplement à proximité est censé avoir des pouvoirs régénérateurs.;Die Phiole in dieser stabilen Box enthält angeblich das Blut eines uralten Tieres. Schon in der Nähe zu sein bringt angeblich regenerative Kräfte.;;Se supone que esta ampolla guardada en esta caja robusta contiene la sangre de una bestia antigua. Se dice que tenerla cerca tiene poderes regeneradores.;;;;;;;;;x
random_world_mythological_blood_desc_1;The vial kept in this sturdy box supposedly contains the blood of some ancient beast. Even simply being near it is meant to have regenerative powers.;La fiole conservée dans cette boîte solide est censée contenir le sang d'une bête antique. Même être simplement à proximité est censé avoir des pouvoirs régénérateurs.;Die Phiole in dieser stabilen Box enthält angeblich das Blut eines uralten Tieres. Schon in der Nähe zu sein bringt angeblich regenerative Kräfte.;;Se supone que esta ampolla guardada en esta caja robusta contiene la sangre de una bestia antigua. Se dice que tenerla cerca tiene poderes regeneradores.;;;;;;;;;x
reconquista_bloodline;Iberian Blood of [Root.GetFirstName];Sang ibérique de [Root.GetFirstName];Iberisches Blut von [Root.GetFirstName];;Sangre ibérica de [Root.GetFirstName];;;;;x
reconquista_bloodline_desc;Known for being one of the most important characters in the reconquests of the Iberian Peninsula.;Connu[Root.Get_E] pour être l'un des personnages les plus importants des reconquêtes de la péninsule ibérique.;Dieser Charakter war eine der wichtigsten Person während der Rückeroberung der iberischen Halbinsel.;;Célebre por ser uno de los personajes más importante en la Reconquista de la península ibérica.;;;;;x
reconquista_cid_bloodline;Iberian Blood of [Root.GetFirstName];Sang ibérique de [Root.GetFirstName];Iberisches Blut von [Root.GetFirstName];;Sangre ibérica de [Root.GetFirstName];;;;;x
reconquista_cid_bloodline_desc;Known for both fighting against and helping the infidels throughout the Reconquests of Iberia, as one of the greatest generals of our times.;Connu[Root.Get_E] pour avoir combattu et aidé les infidèles tout au long des reconquêtes de l'Ibérie, [Root.GetIlElle] est l'un des plus grands généraux de notre époque.;Dieser Charakter ist dafür bekannt sowohl für als auch gegen die Ungläubigen während der Rückeroberung Iberiens gekämpft zu haben und gilt als einer der größten Generäle unserer Zeit.;;Célebre por luchar tanto contra los infieles como a su favor durante la Reconquista de la península ibérica, siendo uno de los mayores generales de nuestro tiempo.;;;;;x
roman_emperor_female;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
roman_emperor_male;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
saintly_bloodline_01;Blood of Saint [Root.GetDynName];Sang de Saint [Root.GetDynName];Blut vom Heiligen [Root.GetDynName];;Sangre de san[Root.GetXTa] [Root.GetDynName];;;;;x
saintly_bloodline_02;Blood of Saint [Root.GetDynName];Sang de Saint [Root.GetDynName];Blut vom Heiligen [Root.GetDynName];;Sangre de san[Root.GetXTa] [Root.GetDynName];;;;;x
saintly_bloodline_03;Blood of Saint [Root.GetDynName];Sang de Saint [Root.GetDynName];Blut vom Heiligen [Root.GetDynName];;Sangre de san[Root.GetXTa] [Root.GetDynName];;;;;x
saintly_bloodline_04;Blood of Saint [Root.GetDynName];Sang de Saint [Root.GetDynName];Blut vom Heiligen [Root.GetDynName];;Sangre de san[Root.GetXTa] [Root.GetDynName];;;;;x
saintly_bloodline_05;Blood of Saint [Root.GetDynName];Sang de Saint [Root.GetDynName];Blut vom Heiligen [Root.GetDynName];;Sangre de san[Root.GetXTa] [Root.GetDynName];;;;;x
saintly_bloodline_06;Blood of Saint [Root.GetDynName];Sang de Saint [Root.GetDynName];Blut vom Heiligen [Root.GetDynName];;Sangre de san[Root.GetXTa] [Root.GetDynName];;;;;x
saintly_bloodline_07;Blood of Saint [Root.GetDynName];Sang de Saint [Root.GetDynName];Blut vom Heiligen [Root.GetDynName];;Sangre de san[Root.GetXTa] [Root.GetDynName];;;;;x
saintly_bloodline_08;Blood of Saint [Root.GetDynName];Sang de Saint [Root.GetDynName];Blut vom Heiligen [Root.GetDynName];;Sangre de san[Root.GetXTa] [Root.GetDynName];;;;;x
saintly_bloodline_09;Blood of Saint [Root.GetDynName];Sang de Saint [Root.GetDynName];Blut vom Heiligen [Root.GetDynName];;Sangre de san[Root.GetXTa] [Root.GetDynName];;;;;x
saintly_bloodline_10;Blood of Saint [Root.GetDynName];Sang de Saint [Root.GetDynName];Blut vom Heiligen [Root.GetDynName];;Sangre de san[Root.GetXTa] [Root.GetDynName];;;;;x
saintly_bloodline_11;Blood of Saint [Root.GetDynName];Sang de Saint [Root.GetDynName];Blut vom Heiligen [Root.GetDynName];;Sangre de san[Root.GetXTa] [Root.GetDynName];;;;;x
saintly_bloodline_12;Blood of Saint [Root.GetDynName];Sang de Saint [Root.GetDynName];Blut vom Heiligen [Root.GetDynName];;Sangre de san[Root.GetXTa] [Root.GetDynName];;;;;x
saintly_bloodline_description;[saint_person.GetTitledFirstName] was known for [saint_person.GetNature][saint_person.GetMiracleShort]. Canonized by [Root.GetTitledName].;[saint_person.GetTitledFirstName] était connu[saint_person.Get_E] pour [saint_person.GetNature][saint_person.GetMiracleShort]. [saint_person.GetIlElleCap] a été canonisé[saint_person.Get_E] par [Root.Get_le_TitledName].;[saint_person.GetTitledFirstName] war für [saint_person.GetNature][saint_person.GetMiracleShort] bekannt. Von [Root.GetTitledName] für Heilig erklärt.;;Se conoce a [saint_person.GetTitledFirstName] por [saint_person.GetNature][saint_person.GetMiracleShort]. Recibió la canonización de [Root.GetTitledName].;;;;;x
saintly_bloodline_name;Blood of Saint [saint_person.GetDynName];Sang de saint[saint_person.Get_E] [saint_person.GetDynName];Blut des Heiligen [saint_person.GetDynName];;Sangre de san[saint_person.GetXTa] [saint_person.GetDynName];;;;;x
samrat_chakravartin_female;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
samrat_chakravartin_male;Blood of [This.GetFirstNameWithNick];Sang de [This.GetFirstNameWithNick];Blut von [This.GetFirstNameWithNick];;Sangre de [This.GetFirstNameWithNick];;;;;;;;;x
saoshyant_female;Blood of the Saoshyant;Sang du Saoshyant;Blut der Saoschjant;;Sangre del Saosyant;;;;;;;;;x
saoshyant_male;Blood of the Saoshyant;Sang du Saoshyant;Blut der Saoschjant;;Sangre del Saosyant;;;;;;;;;x
sea_king_bloodline;Stormblood;Tempête de Sang;Sturmblut;;Sangre tormentosa;;;;;;;;x
sea_king_bloodline_desc;Entire cities have been decimated by the raids of [This.Founder.GetTitledFirstName], etching [This.Founder.GetHerHis] legacy as one of the most fearsome and ruthless Pirates of [This.Founder.PrimaryTitle.GetName].;Des cités entières ont été décimées par les pillages [This.Founder.Get_du_TitledFirstName], gravant son nom dans le marbre en tant que l'un[This.Founder.Get_E] des pirates les plus redoutables et impitoyables [This.Founder.PrimaryTitle.Get_du_Realm].;Ganze Städte wurden durch die Überfälle von [This.Founder.GetTitledFirstName] niedergemäht, [This.Founder.Getderdie] sein Vermächtnis als eine[This.Founder.GetrMale] der furchterregendsten und rücksichtslosesten Piraten von [This.Founder.PrimaryTitle.GetName] beansprucht.;;Ciudades enteras fueron devastadas por las incursiones de [This.Founder.GetTitledFirstName], grabando su legado como uno de los piratas de [This.Founder.PrimaryTitle.GetName] más terribles y despiadados.;;;;;;;;x
seaqueen_bloodline;Stormblood;Tempête de Sang;Sturmblut;;Sangre tormentosa;;;;;;;;x
seaqueen_bloodline_desc;Entire cities have been decimated by the raids of [This.Founder.GetTitledFirstName], etching [This.Founder.GetHerHis] legacy as one of the most fearsome and ruthless Pirates of [This.Founder.PrimaryTitle.GetName].;Des cités entières ont été décimées par les pillages [This.Founder.Get_du_TitledFirstName], gravant son nom dans le marbre en tant que l'un[This.Founder.Get_E] des pirates les plus redoutables et impitoyables [This.Founder.PrimaryTitle.Get_du_Realm].;Ganze Städte wurden durch die Überfälle von [This.Founder.GetTitledFirstName] niedergemäht, [This.Founder.Getderdie] sein Vermächtnis als eine[This.Founder.GetrMale] der furchterregendsten und rücksichtslosesten Piraten von [This.Founder.PrimaryTitle.GetName] beansprucht.;;Ciudades enteras fueron devastadas por las incursiones de [This.Founder.GetTitledFirstName], grabando su legado como una de las piratas de [This.Founder.PrimaryTitle.GetName] más terribles y despiadadas.;;;;;;;;x

phalaris_female;Phalarikan Blood;Sang de Phalaris;Phalarisisches Blut;;Sangre de Falaris;;;;;;;;;x
phalaris_male;Phalarikan Blood;Sang de Phalaris;Phalarisisches Blut;;Sangre de Falaris;;;;;;;;;x
teuta_female;Blood of Teuta;Sang de Teuta;Blut von Teuta;;Sangre de Teuta;;;;;;;;;x
