BM_100_YEARS_WAR;The Hundred Years War;La guerre de Cent Ans;Der Hundertjährige Krieg;;La Guerra de los Cien años;;;;;;;;;x
ERA_CHAR_INFO_457620;As king of Castile and Leon, Ferdinand was one of the most critical figures in the history of the Reconquista that would eventually see the Muslims driven from Iberia. Castile under Ferdinand expanded far into southern Spain, using a combination of force and diplomacy to seize Andalusian cities such as Córdoba and Seville. More than four hundred years after his death, Ferdinand was canonized by Pope Clement X and came to be known as as Ferdinand the Saint in the annals of history.;Roi de Castille et du León, Ferdinand fut une figure centrale de l'histoire de la Reconquista qui allait voir les musulmans quitter la péninsule ibérique. Sous Ferdinand, la Castille gagna des territoires au sud grâce à un mélange de force et de diplomatie, capturant les villes andalouses de Cordoue et Séville. Plus de quatre siècles après sa mort, Ferdinand fut canonisé par le pape Clément X et l'histoire retint le nom de Ferdinand le Saint.;Als König von Kastilien und Leon war Ferdinand eine der wichtigsten Figuren in der Geschichte der Reconquista. Unter seiner Herrschaft wurden die Muslime aus Iberien vertrieben. Unter Ferdinand dehnte sich Kastilien weit ins südliche Spanien aus. Durch eine Mischung aus Zwang und Diplomatie konnten andalusische Städte wie Córdoba und Sevilla erobert werden. Mehr als 400 Jahre nach seinem Tod wurde Ferdinand von Papst Clemens X. heilig gesprochen und ging unter dem Beinamen "der Heilige" in die Geschichte ein.;;Como rey de Castilla y León, Fernando fue una de las figuras más decisivas de la historia de la Reconquista que finalmente vería a los musulmanes irse de Iberia. Bajo el reinado de Fernando, Castilla se expandió hacia el Sur de España gracias a una combinación de fuerza y diplomacia para tomar ciudades andaluzas como Córdoba y Sevilla. Más de cuatrocientos años después de su muerte, Fernando fue canonizado por el Papa Clemente X y en los anales de historia pasó a ser conocido Fernando el Santo.;;;;;;;;;x
ERA_CHAR_INFO_471500;Casimir the Great inherited the throne of Poland in 1333 and continued his fathers work in unifying the Polish kingdom. During his lifetime he went on military campaigns to expand his realm to the east and solidify his borders in the west. To get support from the Hungarian nobles he also promised them the Polish throne if he would end up heirless. Unfortunately he didn't manage to produce a legal male heir, in spite of his four different marriages, and after his death in 1370 the Hungarians pressed their claim to the Polish crown and ended the Piast dynasty.;Casimir le Grand hérite du trône de Pologne en 1333 et poursuit l'oeuvre de son père d'unifier le royaume de Pologne. Au cours de sa vie, il lance des campagnes militaires pour étendre son royaume vers l'est et consolider ses frontières à l'ouest. Pour obtenir l'appui des nobles de Hongrie, il leur promet également le trône de Pologne en cas d'absence d'héritier. Malheureusement, il ne parvient pas à avoir un héritier mâle légitime et ce malgré quatre mariages. Après sa mort en 1370, les Hongrois font pression pour revendiquer la couronne polonaise et la dynastie Piast prend fin.;Kasimir III. erbte den polnischen Königsthron im Jahre 1333 und führte mit der Einigung des Königreichs Polen das Werk seines Vaters fort. In mehreren Feldzügen erweiterte er sein Herrschaftsgebiet nach Osten und sicherte die Grenzen seines Reiches im Westen. Um sich der Unterstützung der Ungarn zu versichern, versprach er ihnen den polnischen Thron, falls er sterben sollte, ohne einen Erben zu hinterlassen. Obwohl er insgesamt vier Ehefrauen hatte, gelang es ihm bis zu seinem Ableben 1370 nicht, einen rechtmäßigen männlichen Erben zu haben. Als die Ungarn nach seinem Tod ihren Anspruch auf die polnische Krone durchsetzten, war die Herrschaft der Piastendynastie zu Ende.;;Casimiro el Grande heredó el trono de Polonia en 1333 y continuó la labor de su padre, unificando el reino Polaco. Durante su vida fue a campañas militares para expandir su reino por el este y consolidar sus fronteras en el oeste. Para conseguir el apoyo de los nobles húngaros les prometió el trono polaco si fallecía sin descendencia. Desafortunadamente no consiguió concebir un legítimo heredero de sexo masculino, a pesar de sus cuatro matrimonios, después de su muerte en 1370 los húngaros reclamaron su derecho a la corona polaca y finalizó la dinastía de los Piastas.;;;;;;;;;x
ERA_CHAR_INFO_476500;Son of Osman I, the founder and namesake of the illustrious Ottoman dynasty, Orhan succeeded his father upon his death. He initially offered to rule jointly with his brother Alaeddin, but the latter declined and would instead serve as Orhan's highly influential vizier until his death in 1332. Under Orhan, the Ottomans expanded greatly in northwestern Anatolia at the expense of the Byzantine Empire, who were embroiled in a series of civil wars.;Fils d'Osmane Ier, fondateur de l'illustre dynastie ottomane à laquelle il donna son nom, Orhan succéda à son père à la mort de ce dernier. Il proposa à son frère Alaeddin de régner avec lui mais celui-ci refusa et préféra servir comme vizir très influent d'Orhan jusqu'à sa mort en 1332. Sous le règne d'Ohran, les Ottomans étendirent leur territoire en Anatolie aux dépens de l'Empire byzantin, alors en proie à une série de guerres civiles.;Als Sohn Osmans I., des Gründers und Namenspatrons der illustren Dynastie der Osmanen, trat Orhan nach dem Tod seines Vaters sein Erbe an. Anfänglich bot er seinem Bruder Alaeddin eine Doppelherrschaft an, doch dieser lehnte ab und diente Orhan stattdessen als höchst einflussreicher Wesir bis zu seinem Tod im Jahre 1332. Unter Orhan expandierten die Osmanen auf Kosten des durch Bürgerkrieg geschwächten Byzanz weit ins nordwestliche Anatolien.;;Hijo de Osman I, el fundador y patrón de la ilustre dinastía Otomana, Orhan sucedió a su padre cuando éste murió. En un inició se ofreció para gobernar junto a su hermano Alaeddin, pero este último rechazó la propuesta y en su lugar sirvió como visir muy influyente de Orhan hasta su muerte en 1332. Bajo el reinado de Orhan, los otomanos se expandieron en gran medida por el noroeste de Anatolia en detrimento del Imperio Bizantino, que se vio envuelto en una serie de guerras civiles.;;;;;;;;;x
ERA_CHAR_INFO_478011;Hulegu was the grandson of Genghis Khan. When his brother Möngke became Great Khan, Hulegu was ordered to conquer the remaining Muslim territories in western Asia. For his campaign he was assigned the largest Mongol army assembled and with it he ravaged the important Muslim cities of Baghdad and Damascus. This effectively pushed the centre of Muslim power west to the Mamluks in Cairo. He was also responsible for destroying the Hashashins. The lands he conquered became the foundation for the Ilkhanate which became a major power in the Middle East.;Hulagu est le petit-fils de Genghis Khan. Lorsque son frère Möngke devient grand khan, Hulagu reçoit l'ordre de conquérir ce qui reste de territoires musulmans en Asie occidentale. Pour sa campagne, il reçoit la plus grande armée mongole jamais assemblée et grâce à elle, ravage les grandes cités musulmanes de Bagdad et Damas. Ceci a pour conséquence de déplacer le centre de gravité du pouvoir musulman à l'ouest, chez les Mamelouks du Caire. Il est également responsable de la destruction des Hashshâshîns. Les terres qu'il conquiert constituent la base de l'Ilkhanat, qui deviendra une puissance majeure au Moyen-Orient.;Hulegu war ein Enkel von Dschingis Khan. Als sein Bruder Möngke Großkhan wurde, erhielt Hulegu den Auftrag, die restlichen muslimischen Gebiete Westasiens zu erobern. Für seine Feldzüge wurde ihm das Kommando über das größte mongolische Heer übertragen, das er einsetzte, um die muslimischen Metropolen Bagdad und Damaskus zu verwüsten. Als Resultat verlagerte sich das muslimische Machtzentrum nach Westen - zu den Mamluken in Kairo. Zu einem späteren Zeitpunkt widmete er sich der Vernichtung der Assassinen. Das von ihm eroberte Gebiet wurde die Grundlage für den Machtbereich des Ilkhanats, das zu einer Großmacht im vorderen Orient wurde.;;Hulego era nieto de Gengis Kan. Cuando su hermano Möngke se convirtió en el Gran Kan, Hulego fue enviado a conquistar los territorios musulmanes que quedaban en el oeste de Asia. Para esta campaña se le asignó el mayor ejército mongol re con unido y él arrasó ciudades importantes musulmanas como Bagdad o Damasco. Ésto trasladó el centro del poder occidental musulmán sobre los Mamelucos en El Cairo. También fue el responsable de destruir los Hashashins. Las tierras conquistadas se convirtieron en la base para la Ilkanato que se convirtió en una gran potencia en el Medio Oriente.;;;;;;;;;x
ERA_CHAR_INFO_480000;Mohammed Özbeg was the longest reigning khan of the Golden Horde, and it was under him that the Mongol splinter state reached the height of its power. Özbeg was converted to Islam at an early age, and upon assuming the throne he adopted it as a state religion. Despite this he was known to be highly tolerant of Christians, something that Pope John XXII would personally thank him for in a letter.;Mohammed Öz Beg fut le khan qui régna le plus longtemps sur la Horde d'or. C'est sous son règne que l'État mongol connut sa plus grande puissance. Öz Beg fut converti à l'islam très jeune et lorsqu'il monta sur le trône, l'islam devint la religion d'État. Malgré cela, on sait qu'il était très tolérant envers les chrétiens. Le pape Jean XXII l'en remercia d'ailleurs personnellement dans une lettre.;Mohammed Usbek war der am längsten regierende Khan der Goldenen Horde, unter dem dieser Splitterstaat der Mongolen seine größte Machtausdehnung erfuhr. Usbek konvertierte als junger Mann zum Islam und machte seinen Glauben zur Staatsreligion, als er Khan wurde. Trotzdem zeigte er sich gegenüber den Christen außerordentlich tolerant, was durch einen Brief, in dem Papst Johannes XXII. ihm dafür seinen persönlichen Dank ausspricht, bezeugt wird.;;Mohammed Özbeg fue el khan de la Horda Dorada que contó con un reinado más prolongado, y fue bajo lo que el estado escindido Mongol alcanzó el apogeo de su poder. Özbeg fue convertido al Islam a muy temprana edad, y en cuanto asumió el trono lo adoptó como religión de estado. A pesar de ello, se le consideraba muy tolerante con los cristianos, algo que el Papa Juan XXII le agradeció personalmente por carta.;;;;;;;;;x
ERA_CHAR_NAME_140;William the Conqueror;Guillaume le Conquérant;Wilhelm der Eroberer;;Guillermo el Conquistador;;;;;;;;;x
ERA_CHAR_NAME_214;King Philippe of France;Roi Philippe de France;König Philipp von Frankreich;;Rey Felipe de Francia;;;;;;;;;x
ERA_CHAR_NAME_418;Count Herbert of Vermandois;Comte Herbert de Vermandois;Graf Herbert von Vermandois;;Conde Herberto de Vermandois;;;;;;;;;x
ERA_CHAR_NAME_762;King Boleslaw the Bold;Roi Boleslaw le Téméraire;König Boleslaw der Kühne;;Rey Boleslao el Temerario;;;;;;;;;x
ERA_CHAR_NAME_1128;Robert Guiscard;Robert Guiscard;Robert Guiscard;;Roberto Guiscardo;;;;;;;;;x
ERA_CHAR_NAME_1282;Otto I;Otto Ier;Otto I.;;Otón I;;;;;x
ERA_CHAR_NAME_1316;Heinrich IV;Henri IV;Heinrich IV.;;Heinrich IV;;;;;;;;;x
ERA_CHAR_NAME_1700;Basil I;Basile Ier;Basileios I.;;Basilio I;;;;;;;;;x
ERA_CHAR_NAME_1742;Basileus Alexios;Basileus Alexios;Basileus Alexios;;Basileus Alejo;;;;;;;;;x
ERA_CHAR_NAME_3040;Alp Arslan;Alp Arslan;Alp Arslan;;Alp Arslan;;;;;;;;;x
ERA_CHAR_NAME_3040_DLC;Sultan Alp Arslan;Sultan Alp Arslan;Sultan Alp Arslan;;Sultán Alp Arslan;;;;;;;;;x
ERA_CHAR_NAME_3046;Sultan Suleyman of Rum;Sultan Süleyman de Roum;Sultan Suleyman von Rum;;Sultán Suleiman de Rum;;;;;;;;;x
ERA_CHAR_NAME_3096;Al-Mustansir Billah;Al-Mustansir Billah;Al-Mustansir Billah;;Al-Mustansir Billah;;;;;;;;;x
ERA_CHAR_NAME_3504;Khagan Akhad Moshka;Khagan Akhad Moshka;Khagan Akhad Moshka;;Kagan Akhad Moshka;;;;;;;;;x
ERA_CHAR_NAME_5788;King Gudrød of Søreyar;Roi Gudrød de Søreyar;König Gudrød von Søreyar;;Rey Gudrød de Søreyar;;;;;;;;;x
ERA_CHAR_NAME_6392;Charlemagne;Charlemagne;Karl der Große;;Carlomagno;;;;;;;;;x
ERA_CHAR_NAME_7757;Duchess Matilda of Tuscany;Duchesse Mathilde de Toscane;Herzögin Matilda der Toskana;;Duquesa Matilde de Toscana;;;;;;;;;x
ERA_CHAR_NAME_20289;Count Werner of Basel;Comte Werner de Basel;Graf Werner von Basel;;Conde Werner de Basel;;;;;;;;;x
ERA_CHAR_NAME_30809;Isabelle II of Jerusalem;Isabelle II de Jérusalem;Isabelle II. von Jerusalem;;Isabel II de Jerusalén;;;;;;;;;x
ERA_CHAR_NAME_32901;Caliph al-Qaim;Calife Al-Qâ'im;Kalif Al-Qaim;;Califa al-Qaim;;;;;x
ERA_CHAR_NAME_33350;Æthelstan;Æthelstan;Æthelstan;;Athelstan;;;;;x
ERA_CHAR_NAME_34002;Al-Mansur;Al-Mansûr;Al-Mansur;;Almanzor;;;;;;;;;x
ERA_CHAR_NAME_34014;Al-Mu'tazz;Al-Mu'tazz;Al-Mu'tazz;;Al-Mu'tazz;;;;;;;;;x
ERA_CHAR_NAME_40605;Rurik;Riourik;Rurik;;Rurik;;;;;;;;;x
ERA_CHAR_NAME_45107;Satrap Vandad Karen;Satrape Vandad Karen;Satrap Vandad Karen;;Sátrapa Vandad Karen;;;;;;;;;x
ERA_CHAR_NAME_71157;Doge Oberto;Doge Oberto;Doge Oberto;;Dux Oberto;;;;;;;;;x
ERA_CHAR_NAME_73679;Abd-al-Rahman I;Abd-al-Rahman Ier;Abd ar-Rahman I.;;Abderramán I;;;;;;;;;x
ERA_CHAR_NAME_73683;Sultan Muhammad;Sultan Muhammad;Sultan Muhammad;;Sultán Muhammad;;;;;;;;;x
ERA_CHAR_NAME_74012;Khagan Baghatur of Khazaria;Khagan Bagatur de Khazarie;Khagan Baghatur von Khazaria;;Kagan Baghatur de Jazaria;;;;;;;;;x
ERA_CHAR_NAME_74025;Khagan Manasseh II;Khagan Manasseh II;Khagan Manasseh II.;;Kagan Manasés II;;;;;;;;;x
ERA_CHAR_NAME_74413;Krishna I;Krishna Ier;Krishna I.;;Krishna I;;;;;;;;;x
ERA_CHAR_NAME_74441;Somesvara I;Somesvara Ier;Somesvara I.;;Somesvara I;;;;;;;;;x
ERA_CHAR_NAME_74656;Maharaja Singhana II;Maharaja Singhana II;Maharaja Singhana II.;;Maharajá Singhana II;;;;;;;;;x
ERA_CHAR_NAME_90104;Charles the Bald;Charles le Chauve;Karl der Kahle;;Carlos el Calvo;;;;;;;;;x
ERA_CHAR_NAME_90107;Ludwig the German;Louis le Germanique;Ludwig der Deutsche;;Luis el Alemán;;;;;;;;;x
ERA_CHAR_NAME_93052;Mohammed II of Khwarezm;Mohammed II de Khwarezm;Mohammed II. von Choresmien;;Mohammed II de Khwarezm;;;;;;;;;x
ERA_CHAR_NAME_100546;Duke Erik III 'the Heathen';Duc Erik III 'le Païen';Herzog Erik III. "der Heide";;Duque Eric III el Pagano;;;;;;;;;x
ERA_CHAR_NAME_101515;King Svend II of Denmark;Roi Sven II de Danemark;König Sven II. von Dänemark;;Rey Svend II de Dinamarca;;;;;;;;;x
ERA_CHAR_NAME_107590;Count Rodrigo of Valencia;Comte Rodrigo de Valence;Graf Rodrigo von Valencia;;Conde Rodrigo de Valencia;;;;;;;;;x
ERA_CHAR_NAME_109500;King Garcia of Galicia;García II de Galice;König Garcia von Galicia;;Rey García de Galicia;;;;;;;;;x
ERA_CHAR_NAME_125501;Genghis Khan;Genghis Khan;Dschingis Khan;;Gengis Kan;;;;;;;;;x
ERA_CHAR_NAME_144001;Hakon I;Hakon Ier;Hakon I.;;Haakon I;;;;;x
ERA_CHAR_NAME_144999;Karloman I;Carloman Ier;Karlmann I.;;Carlomán I;;;;;;;;;x
ERA_CHAR_NAME_145655;King Dawit of Axum;Roi David d'Aksoum;König Dawit von Axum;;Rey Dawit de Aksum;;;;;;;;;x
ERA_CHAR_NAME_159135;Árpád Zolta;Árpád Zolta;Árpád Zolta;;Arpad Zolta;;;;;x
ERA_CHAR_NAME_159137;King Árpad Álmos;Roi Árpad Álmos;König Árpad Álmos;;Rey Árpad Álmos;;;;;;;;;x
ERA_CHAR_NAME_163108;King Björn 'Ironside';Roi Björn 'Côtes-de-Fer';König Björn "Eisenseite";;Rey Björn Costilla de hierro;;;;;;;;;x
ERA_CHAR_NAME_163111;King Ivar the Boneless;Roi Ivar le Désossé;König Ivar der Knochenlose;;Rey Ivar el Deshuesado;;;;;;;;;x
ERA_CHAR_NAME_163112;Halfdan Whiteshirt;Halfdan Chandail blanc;Halfdan Weißhemd;;Halfdan Camisablanca;;;;;;;;;x
ERA_CHAR_NAME_167219;Mayor Heinrich of the Hansa;Maire Heinrich de la Hanse;Bürgermeister Heinrich;;Alcalde Heinrich de la Hansa;;;;;;;;;x
ERA_CHAR_NAME_170193;Iltutmish of Delhi;Îltutmish de Delhi;Iltutmish von Delhi;;Iltutmish de Delhi;;;;;;;;;x
ERA_CHAR_NAME_170258;Muhammad bin Tughluq;Mouhammed ibn Tughlûq;Muhammad bin Tughluq;;Muhammad bin Tughluq;;;;;;;;;x
ERA_CHAR_NAME_188628;Satrap Jimofuta of Zabulistan;Satrape Jimofuta du Zaboulistan;Satrap Jimofuta von Zabulistan;;Sátrapa Jimofuta de Zabulistán;;;;;;;;;x
ERA_CHAR_NAME_188912;Kara-Khitai Yelü-Zhilugu;Kara-Khitai Yelü-Zhilugu;Kara-Khitai Yelü-Zhilugu;;Kara-Kitai Yelü-Zhilugu;;;;;;;;;x
ERA_CHAR_NAME_189029;Thakur Vijayabahu;Thâkur Vijayabahu;Thakur Vijayabahu;;Thakur Vijayabahu;;;;;;;;;x
ERA_CHAR_NAME_190028;Maharaja Dharmapala;Maharaja Dharmapala;Maharaja Dharmapala;;Maharajá Dharmapala;;;;;;;;;x
ERA_CHAR_NAME_190228;King Tassilo III of Bavaria;Roi Tassilo III de Bavière;König Tassilo III. von Bayern;;Rey Tassilo III de Bavaria;;;;;;;;;x
ERA_CHAR_NAME_190347;Desiderius of the Lombards;Didier de Lombardie;Desiderius der Lombarde;;Desiderio de los lombardos;;;;;;;;;x
ERA_CHAR_NAME_194282;Mayor Gunnar of Visby;Maire Gunnar de Visby;Bürgermeister Gunnar von Visby;;Alcalde Gunnar de Visby;;;;;;;;;x
ERA_CHAR_NAME_204500;King Henry of England;Roi Henri d'Angleterre;König Heinrich von England;;Rey Enrique de Inglaterra;;;;;;;;;x
ERA_CHAR_NAME_205072;King Offa of Mercia;Roi Offa de Mercie;König Offa von Mercia;;Rey Offa de Mercia;;;;;;;;;x
ERA_CHAR_NAME_205523;Emperor Baudouin;Empereur Baudouin;Kaiser Baudouin;;Emperador Balduino;;;;;;;;;x
ERA_CHAR_NAME_206811;Duke Zhang Yichao of Jiuquan;Duc Zhang Yichao de Jiuquan;Zhang Yichao von Jiuquan;;Duque Zhang Yichao de Jiuquan;;;;;;;;;x
ERA_CHAR_NAME_212513;Friedrich II;Frédéric II;Friedrich II.;;Federico II;;;;;;;;;x
ERA_CHAR_NAME_213601;Patrician Enrico of Dandolo;Patricien Enrico de Dandolo;Patrizier Enrico von Dandolo;;Patricio Enrico de Dandolo;;;;;;;;;x
ERA_CHAR_NAME_215674;Basileus Theodoros;Basileus Theodoros;Basileus Theodoros;;Basileus Teodoro;;;;;;;;;x
ERA_CHAR_NAME_223023;Basileus Ioannes;Basileus Ioannes;Basileus Johannes;;Basileus Juan;;;;;;;;;x
ERA_CHAR_NAME_223500;King Guy of Jerusalem;Roi Guy de Jérusalem;König Guy von Jerusalem;;Rey Guido de Jerusalén;;;;;;;;;x
ERA_CHAR_NAME_223523;King Baudouin IV of Jerusalem;Baudouin IV de Jérusalem;König Baudouin IV.;;Rey Balduino IV de Jerusalén;;;;;;;;;x
ERA_CHAR_NAME_223590;Prince Renaud of Antioch;Prince Renaud d'Antioche;Prinz Renaud von Antioch;;Príncipe Reinaldo de Antioquía;;;;;;;;;x
ERA_CHAR_NAME_226000;Sultan Saladin;Sultan Saladin;Sultan Saladin;;Sultán Saladino;;;;;;;;;x
ERA_CHAR_NAME_247105;Tsenpo Purgyal Trison Detsen;Tsenpo Purgyal Trison Detsen;Tsenpo Purgyal Trison Detsen;;Tsenpo Purgyal Trison Detsen;;;;;;;;;x
ERA_CHAR_NAME_247204;Purgyal Lha II Taramu;Purgyal Lha II Taramu;Purgyal Lha II. Taramu;;Purgyal Lha II Taramu;;;;;;;;;x
ERA_CHAR_NAME_247224;Khon Sherab Tsultrim;Khon Sherab Tsultrim;Khon Sherab Tsultrim;;Khon Sherab Tsultrim;;;;;;;;;x
ERA_CHAR_NAME_248710;High Chief Aritso of Kanem;Grand chef Arisato de Kanem;Aritso von Kanem;;Gran Jefe Aritso de Kanem;;;;;;;;;x
ERA_CHAR_NAME_260976;Abu Tahir al-Jannabi;Abu Tahir al-Jannabi;Abu Tahir al-Jannabi;;Abu Tahir al-Jannabi;;;;;x
ERA_CHAR_NAME_454500;Edward III;Édouard III;Eduard III.;;Eduardo III;;;;;;;;;x
ERA_CHAR_NAME_455500;Philippe VI;Philippe VI;Philipp VI.;;Philippe VI;;;;;;;;;x
ERA_CHAR_NAME_457620;Fernando III of Castile;Ferdinand III de Castille;Ferdinand III. von Kastilien;;Fernando III de Castilla;;;;;;;;;x
ERA_CHAR_NAME_459560;Alfonso II 'the Fat';Alfonso II le Gros;Alfonso II. "der Fette";;Alfonso II el Gordo;;;;;;;;;x
ERA_CHAR_NAME_471500;Casimir the Great;Casimir le Grand;Kasimir III. der Große;;Casimiro el Grande;;;;;;;;;x
ERA_CHAR_NAME_476500;Orhan Ottoman;Orhan l'Ottoman;Orhan I. Osman;;Orhan Otomano;;;;;;;;;x
ERA_CHAR_NAME_476500_DLC;Sultan Orhan Ottoman;Sultan Orhan Ottoman;Sultan Orhan Ottoman;;Sultán Orhan Otomano;;;;;;;;;x
ERA_CHAR_NAME_480000;Özbeg Khan;Özbeg Khan;Özbeg Khan;;Özbeg Kan;;;;;;;;;x
ERA_CHAR_NAME_LONG_3504;Khagan Akhad Moshka of Bolghar;Khagan Akhad Moshka de Bolgar;Khagan Akhad Moshka von Bolghar;;Kagan Akhad Moshka de Bolghar;;;;;;;;;x
ERA_CHAR_NAME_LONG_71157;Serene Doge Oberto of Genoa;Doge Sérénissime Oberto de Gênes;Doge Oberto von Genua;;Sereno dux Oberto de Genoa;;;;;;;;;x
ERA_CHAR_NAME_LONG_194282;Grand Mayor Gunnar of Visby;Grand maire Gunnar de Visby;Oberbürgermeister Gunnar von Visby;;Gran alcalde Gunnar de Visby;;;;;;;;;x
ERA_CHAR_NAME_LONG_247204;Purgyal Lha II Taramu of Ü-Tsang;Purgyal Lha II Taramu de Ü-Tsang;urgyal Lha II. Taramu of Ü-Tsang;;Purgyal Lha II Taramu de Ü-Tsang;;;;;;;;;x
ERA_HOLMGARDR;Holmgarðr;Holmsgardr;Holmgarðr;;Holmgardr;;;;;;;;;x
ERA_JORVIK;Jorvik;Royaume viking d'York;Jorvik;;Jorvik;;;;;;;;;x
ERA_KHWAREZM;Khwarezmid;Khorezmiens;Choresmisch;;Khwarezmid;;;;;;;;;x
ERA_RASHTRAKUTA_KINGDOM;Rashtrakuta;Rashtrakuta;Rashtrakuta;;Rashtrakuta;;;;;;;;;x
ERA_TUGHLUQ;Tughluq;Tughlûq;Tughluq;;Tughluq;;;;;;;;;x
ERA_UMAYYAD_EMPIRE;Umayyad;Omeyyades;Umayyaden;;Omeya;;;;;;;;;x
OTTO_THE_FIRST_ERA;The Iron Century;Le siècle de fer;Das Eiserne Jahrhundert;;El siglo de hierro;;;;;x
OTTO_THE_FIRST_ERA_INFO;On the 7th of August 936, Otto I was crowned King of the Germans. He initiated his arduous campaign to crush his rivals and reconquer the lost territory in Italy to reform the Holy Roman Empire. The Magyars settled down in the Carpathian Basin and began to make their mark on the world as they conquered and pillaged their neighbors, becoming feared across Europe. In the north the Christians were trying to push into the Scandinavian Peninsula to start converting the pagan kings, but the Germanic faith still stood strong among the vikings. In Baghdad far to the south-east, the ancient Abbasid Caliphate that once ruled an empire stretching from Persia to Hispania finally fell to infighting, left only with the heartland of their former empire. And on the shores of Africa a new rival rose up in the form of the Fatimid Caliphate, ready to fill the vacant regions left behind by their adversary.;Otto Ier, couronné roi des Allemands le 7 août 936, a lancé sa campagne ardue pour écraser ses rivaux, reconquérir le territoire perdu en Italie et réformer le Saint-Empire romain germanique. Les Magyars, installés dans le bassin des Carpates, sont redoutés dans toute l'Europe à cause de leurs conquêtes et pillages. Au nord, les chrétiens ont essayé de convertir les rois païens de la péninsule scandinave, mais la foi germanique est encore privilégiée par les vikings. Bien plus au sud-est, à Bagdad, l'ancien califat abbasside, qui régnait jadis sur un empire s'étendant de la Perse à l'Hispanie, a dû faire face à des luttes intestines et seul le cœur de l'ancien empire subsiste à présent. Le califat fatimide règne sur les rives de l'Afrique et est prêt à s'emparer des régions laissées par le califat rival.;Am 7. August 936 wurde Otto I. zum König der Deutschen gekrönt. Kurze Zeit später leitete er einen mühsamen Feldzug ein, der seine Rivalen vernichten und das verlorene Gebiet in Italien zurückzuerobern sollte, um das Heilige Römische Reich zu reformieren. Die Magyaren ließen sich im Karpatenbecken nieder und hinterließen ihre Spur in der Geschichte, als sie ihre Nachbarn eroberten und plünderten und in ganz Europa gefürchtet wurden. Im Norden versuchten die Christen zur skandinavischen Halbinsel vorzudringen, um die heidnischen Könige zu konvertieren, aber der germanische Glaube blieb unter den Wikingern stark. In Bagdad, weit im Südosten, verfiel das alte abbasidische Kalifat, das einst ein von Persien bis Hispanien reichte, endgültig in einen inneren Konflikt und blieb nur mit dem Kernland seines früheren Reiches zurück. An den Ufern Afrikas stieg ein neuer Rivale in Form des Fatimidenkalifats auf, der bereit war, die von ihrem Gegner zurückgelassenen leeren Gebiete zu füllen.;;El 7 de agosto de 936, Otón I fue coronado Rey de los alemanes. Iniciaba su ardua campaña para aplastar a sus rivales y reconquistar el territorio perdido en Italia para reformar el Sacro Imperio Romano. Los magiares se establecían en la llanura panónica y comenzaban a dejar su huella en el mundo conquistando y saqueando a sus vecinos, atemorizando a toda Europa. Al norte, los cristianos estaban tratando de entrar en la península escandinava para empezar a convertir a los reyes paganos, pero la fe germánica aún se mantenía fuerte entre los vikingos. En Bagdad, muy al sureste, el antiguo califato abasida -que en el pasado gobernó un imperio que iba de Persia a Hispania- caía finalmente en luchas intestinas, quedándose solo con el corazón de su antiguo imperio. Y en las costas africanas se alza un nuevo rival, el califato fatimí, listo para ocupar las regiones vacías que su adversario ha abandonado.;;;;;x
VIKING_ERA;Viking Age;L'âge des Vikings;Wikingerzeitalter;;Época Vikinga;;;;;;;;;x
