#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
AGE_FACTOR;Age Factor;Critère d'âge;Alters-Faktor;;Factor de Edad;;;;;;;;;x
TRADE_CONNECTED_BONUS;Connected to Capital;Relié à la capitale;Mit der Hauptstadt verbunden;;Conectada a la Capital;;;;;;;;;x
TRADE_COST_DIST;Distance to Republic held Province ( §Y$PROVINCE$§! ): §Y$COST$§!;Éloignement de §Y$PROVINCE$§!, la capitale de la République : §Y$COST$§!;Distanz zur von der Republik gehaltenen Provinz ( §Y$PROVINCE$§! ): §Y$COST$§!;;Distancia a la Provincia propiedad de la República ( §Y$PROVINCE$§! ): §Y$COST$§!;;;;;;;;;x
TRADE_COST_DIST_TOTAL;Distance Penalty: §Y+$PENALTY$%§! ( §Y$MULT$%§! of total Distance );Pénalité pour la distance : §Y$PENALTY$%§! ( §Y$MULT$%§! de la distance totale);Distanz-Strafe: §Y+$PENALTY$%§! ( §Y$MULT$%§! der Gesamtentfernung );;Penalización de Distancia: §Y+$PENALTY$%§! ( §Y$MULT$%§! de Distancia total );;;;;;;;;x
TRADE_COST_MULT;Distance to Cost-increate Multiplier: §Y$MULT$%§!;Modif. de coût selon distance : §Y$MULT$%§!;Distanz zu Kosten-Zuwachs-Multiplizierer: §Y$MULT$%§!;;Distancia a Coste-Multiplicador: §Y$MULT$%§!;;;;;;;;;x
TRADE_COST_REGION_PEN;Different Trade Region: §Y+$PENALTY$§!;Région marchande différente : §Y+$PENALTY$§!;Unterschiedliche Handelsregion: §Y+$PENALTY$§!;;Distinta Región Comercial: §Y+$PENALTY$§!;;;;;;;;;x
TRADE_INCOME;Trade Income;Revenus commerciaux;Handelseinkommen;;Ingreso Comercial;;;;;;;;;x
TRADE_ZONE;Trade Zone:;Zone marchande : ;Handelszone:;;Zona Comercial:;;;;;;;;;x
TRADE_ZONE_BONUS;Trade Zone Bonus;Bonus de la zone marchande;Handelszonen-Bonus;;Bonificación de Zona Comercial;;;;;;;;;x
TRADEFAMILY_INCOME;Total Family Income;Revenu total de la famille;Gesamtes Familieneinkommen;;Ingreso Familiar Total;;;;;;;;;x
TRADEFAMILY_INCOME_DESC;Total Income from all Trade Posts owned by the §Y$FAMILY$§! Family: §Y$INCOME$§!¤;Revenu total de tous les comptoirs appartenant à la famille §Y$FAMILY$§! : §Y$INCOME$§!¤;Gesamteinkommen aller Handelsposten, die im Besitz der §Y$FAMILY$§!-Familie sind: §Y$INCOME$§!¤;;Ingreso total de todos los Puestos Comerciales propiedad de la Familia §Y$FAMILY$§! : §Y$INCOME$§!¤;;;;;;;;;x
TRADEFAMILY_SIZE;Total Family Size;Nombre de comptoirs de la famille;Gesamte Familiengröße;;Tamaño Total de la Familia;;;;;;;;;x
TRADEFAMILY_SIZE_DESC;The number of Trade Posts owned by the §Y$FAMILY$§! Family;Le nombre de comptoirs que possède la famille §Y$FAMILY$§!;Die Anzahl der Handelsposten, die im Besitz der §Y$FAMILY$§!-Familie sind;;Número de Puestos Comerciales propiedad de la Familia §Y$FAMILY$§! ;;;;;;;;;x
TRADEPOST_FINISHED_LOG;A Trade Post has been built by the §Y$FAMILY$§! Family of §Y$REPUBLIC$§! in §Y$PROVINCE$§!.;Un comptoir a été fondé en §Y$PROVINCE$§! par la famille §Y$FAMILY$§! de §Y$REPUBLIC$§!.;Ein Handelsposten wurde von der §Y$FAMILY$§!-Familie von §Y$REPUBLIC$§! in §Y$PROVINCE$§! gebaut.;;Se ha construido un puesto comercial por la Familia §Y$FAMILY$§! de §Y$REPUBLIC$§! en §Y$PROVINCE$§!.;;;;;;;;;x
TRADEPOST_FINISHED_SETUP;Trade Post Construction Finished;Comptoir achevé;Bau des Handelspostens beendet;;Finalizada Construcción de Puesto Comercial;;;;;;;;;x
TRADEPOST_OWNER;Trade Post is owned by the §Y$FAMILY$§! Family;Le comptoir appartient à la famille §Y$FAMILY$§!;Der Handelsposten ist im Besitz der §Y$FAMILY$§!-Familie;;Puesto comercial propiedad de la Familia §Y$FAMILY$§!;;;;;;;;;x
TRADEPOST_PROV;Trade Post of $PROV$;Comptoir de $PROV$;Handelsposten von $PROV$;;Puesto comercial de $PROV$;;;;;;;;;x
TRADEPOST_PROV_LONG;Trade Post of $PROV$ - §Y$REPUBLIC$§! ( §Y$FAMILY$§! );Comptoir de $PROV$ - §Y$REPUBLIC$§! ( §Y$FAMILY$§! );Handelsposten von $PROV$ - §Y$REPUBLIC$§! ( §Y$FAMILY$§! );;Puesto Comercial de $PROV$ - §Y$REPUBLIC$§! (¡§Y$FAMILY$§! );;;;;;;;;x
TRADEREGION_DESC;This county belongs to §YThe $REGION$§!;Ce comté appartient à §Y$REGION$§!;Diese Provinz gehört §Y$REGION$§!;;Esta provincia pertenece a §YLa $REGION$§!;;;;;;;;;x
TRADEZONE_INCOME;Trade Zone Income;Revenus des impôts de la zone;Handelszonen-Einkommen ;;Ingresos de Zona Comercial;;;;;;;;;x
TRADEZONE_INCOME_DESC;Total Income from all Trade Posts in this Trade Zone: §Y$INCOME$§!¤;Revenu total de tous les comptoirs de cette zone marchande : §Y$INCOME$§!¤;Gesamteinkommen aller Handelsposten in dieser Handelszone: §Y$INCOME$§!¤;;Ingreso total de todos los Puestos Comerciales en esta Zona Comercial: §Y$INCOME$§!¤;;;;;;;;;x
TRADEZONE_SIZE;Trade Zone Size;Taille de la zone marchande;Größe der Handelszone;;Tamaño de Zona Comercial;;;;;;;;;x
TRADEZONE_SIZE_DESC;The number of Trade Posts in the Trade Zone this Trade Post is part of.;Le nombre de comptoirs de la zone marchande à laquelle ce comptoir appartient;Die Anzahl der Handelsposten in der Handelszone, von der dieser Handelsposten ein Teil ist;;El número de Puestos Comerciales de la Zona Comercial de la que forma parte este Puesto Comercial;;;;;;;;;x
TRADEZONE_VALUE;Trade Zone Value;Valeur de la zone marchande;Handelszonen-Wert;;Valor de Zona Comercial;;;;;;;;;x
TRADEZONE_VALUE_DESC;The value of all Holdings in this trade zone\nIncreases the value of Trade Posts and Cities in this Trade Zone:\nTrade Posts: §Y$TPBONUS$§!\nCities: §Y$CTBONUS$§!;La valeur de toutes les propriétés de cette zone marchande\naugmente la valeur de tous les comptoirs et des cités de cette zone marchande\nComptoirs : §Y$TPBONUS$§!\nCités : §Y$CTBONUS$§!;Der Wert aller Besitztümer in dieser Handelszone\nErhöht den Wert der Handelsposten und Städte in dieser Handelszone:\nHandelsposten: §Y$TPBONUS$§!\nStädte: §Y$CTBONUS$§!;;El valor de todas las Pertenencias en esta zona comercial.\nIncrementa el valor de los Puestos Comerciales y Ciudades en esta Zona Comercial:\nPuestos Comerciales: §Y$TPBONUS$§!\nCiudades: §Y$CTBONUS$§!;;;;;;;;;x
TRIGGER_CAPITAL_HOLDING;Capital Holding;La propriété doit être une capitale;Hauptbesitztum;;Propiedad de Capital;;;;;;;;;x
TRIGGER_PLOT_TARGET_PROVINCE;Plot Target Province;Province ciblée par le complot;Anschlag auf Zielprovinz verüben;;Provincia Objetivo del Complot;;;;;;;;;x
TRIGGER_SEA_ZONE;Trade Post Owner;Propriétaire du comptoir;Besitzer des Handelspostens;;Propietario del Puesto de Comercial;;;;;;;;;x
TRIGGER_TRADE_POST_OWNER;Trade Post Owner;Propriétaire du comptoir;Besitzer des Handelspostens;;Propietario del Puesto Comercial;;;;;;;;;x
VASSAL_RELEASED_LETTER;Esteemed $VASSAL$, for political reasons I have decided to release you from your vassalage and grant you full independence. Good luck!\n\n$LIEGE$;Honorable $VASSAL$, j'ai décidé, pour des raisons politiques, de vous libérer de votre serment de vassalité et de vous accorder l'indépendance. Bonne chance !\n\n$LIEGE$;Werter $VASSAL$, aus politischen Gründen habe ich mich dazu entschlossen, Euch aus Eurem Vasallentum zu entlassen und Euch vollständige Unabhängigkeit zu gewähren. Viel Glück!\n\n$LIEGE$;;Estimado $VASSAL$: Debido a razones políticas, he decidido liberaros de vuestro vasallaje y concederos la plena independencia. ¡Buena suerte!\n\n$LIEGE$;;;;;;;;;x
VASSAL_RELEASED_LOG;§Y$LIEGE$§! has granted independence to §Y$VASSAL$§!;§Y$LIEGE$§! a accordé l'indépendance à §Y$VASSAL$§!;§Y$LIEGE$§! hat §Y$VASSAL$§! Unabhängigkeit gewährt.;;¡El §Y$LIEGE$§! ha concedido la independencia a §Y$VASSAL$§!;;;;;;;;;x
VASSAL_RELEASED_SETUP;Vassalage Ended;Vassalité abrogée;Vasallentum beendet;;El vasallaje ha finalizado;;;;;;;;;x
WAR_NAME_COASTAL_COUNTY_REPUBLIC;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ War for the Coast of $OTHER_TITLE$;$ORDER$Guerre entre $FIRST$ et $SECOND$ pour les côtes de $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$er Krieg um die Küste von $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Se enfrentan por la costa de $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_COASTAL_REPUBLIC;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ War for the City of $OTHER_TITLE$;$ORDER$Guerre entre $FIRST$ et $SECOND$ pour la cité de $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$er Krieg um die Stadt von $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ se enfrentan por la ciudad de $OTHER_TITLE$;;;;;;;;;x
WAR_NAME_EMBARGO;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Embargo War;$ORDER$Guerre d'embargo $FIRST_ADJ$ contre $SECOND$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$er Embargokrieg;;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Guerra de Embargo;;;;;;;;;x
WAR_NAME_SEIZE_TRADE_POST;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ Trade War over $OTHER_TITLE$;$ORDER$Guerre commerciale entre $FIRST$ et $SECOND$ pour le comptoir de $OTHER_TITLE$;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$s Handelskrieg über $OTHER_TITLE$;;$ORDER$$FIRST_ADJ$-$SECOND_ADJ$ guerra comercial contra $OTHER_TITLE$;;;;;;;;;x
WAS_CONCEIVED_A_BASTARD;Was conceived a Bastard;Est un bâtard;Wurde als Bastard gezeugt;;Fue concebido como Bastardo;;;;;;;;;x
WAS_NOT_CONCEIVED_A_BASTARD;Was NOT conceived a Bastard;N'est pas un bâtard;Wurde NICHT als Bastard gezeugt;;NO fue concebido como Bastardo;;;;;;;;;x
